ProjectionLayer,MatrixId,Family,ExistingId,CanonicalName,ReconciliationStatus,TargetAuthority,TargetConfidence,Action,Notes
core_canonical,REC-CTR-001,contract,CTR-001,CreateInvoice,supported_exact,official_spec,gold,Keep canonical contract and preserve transport/detail notes,Direct official contract support now exists and reference V-SDC envelope stays supplemental
core_canonical,REC-CTR-002,contract,CTR-002,GetStatus,supported_exact,official_spec,gold,Keep canonical contract,Official service contract and manual endpoint behavior align cleanly
core_canonical,REC-CTR-003,contract,CTR-003,GetEnvironmentParameters,supported_exact,official_spec,gold,Keep canonical contract,Official service contract now has direct evidence and manual no-card behavior support
core_canonical,REC-CTR-004,contract,CTR-004,VerifyPin,supported_exact,official_spec,gold,Keep canonical contract,Transport shape and validator/status set are explicitly documented
core_canonical,REC-CTR-005,contract,CTR-005,Attention,supported_exact,official_spec,gold,Keep canonical contract,Direct official E-SDC availability probe contract added during reconciliation
transform_before_finalize,REC-CTR-006,contract,CTR-006,GetLastSignedInvoice,supported_split,official_spec,gold,Split into HTTP recovery contract and secure-element APDU contract,Old row conflated GET /api/v3/invoices/{requestId} recovery with the distinct APDU Get Last Signed Invoice command
core_canonical,REC-CTR-007,contract,CTR-007,SelectSEApplet,supported_exact,official_spec,gold,Keep canonical contract,Official APDU definition and reference sample agree on the AID and usage
core_canonical,REC-CTR-008,contract,CTR-008,GetSecureElementVersion,supported_exact,official_spec,gold,Keep canonical contract,Direct official APDU version contract exists
core_canonical,REC-CTR-009,contract,CTR-009,ForwardSecureElementDirective,supported_exact,official_spec,gold,Keep canonical contract,Official APDU directive contract is primary and reference SECommand remains corroborating implementation evidence
core_canonical,REC-CTR-010,contract,CTR-010,GetCertParams,supported_exact,official_spec,gold,Keep canonical contract,Direct official APDU certificate-parameter contract exists
core_canonical,REC-CTR-011,contract,CTR-011,SignInvoiceApdu,supported_exact,official_spec,gold,Keep canonical contract,Official APDU contract is primary and reference samples provide payload-shape deltas by version
core_canonical,REC-CTR-012,contract,CTR-012,AmountStatusApdu,supported_exact,official_spec,gold,Keep canonical contract,Official APDU contract plus audit-threshold rule and reference reader corroboration align
core_canonical,REC-CTR-013,contract,CTR-013,SelectPKIApplet,supported_exact,official_spec,gold,Keep canonical contract,Official version-gated AIDs should drive the canonical form while legacy reference AID remains corroborating
guidance_canonical,REC-CTR-014,contract,CTR-014,GetInvoiceVerificationJson,supported_exact,official_guidance,silver,Keep canonical contract,Public verification JSON mode remains guidance-backed rather than core protocol-backed
transform_before_finalize,REC-CTR-015,contract,CTR-015,ExportSecureElementCertificate,supported_merge,official_spec,gold,Rename or alias to official ExportCertificateApdu while preserving certificate-metadata notes,Old row is real but its strongest backing is now the official Export Certificate APDU section
reference_only,REC-CTR-016,contract,CTR-016,ExportPkiCertificate,reference_only,reference_impl,bronze,Keep only as adapter/reference contract unless stronger official evidence appears,Current corpus support is implementation-only
transform_before_finalize,REC-CTR-017,contract,CTR-017,ExportInternalDataApdu,conflicted,official_spec,gold,Supersede with ExportAuditDataApdu and demote old name to historical/reference alias,Official documentation says Export Internal Data naming was replaced by Export Audit Data
transform_before_finalize,REC-CTR-018,contract,CTR-018,FinishAuditApdu,supported_merge,official_spec,gold,Rename canonical contract to EndAuditApdu and preserve FinishAudit as reference alias,Official spec uses End Audit while reference reader uses FinishAudit for the same APDU concept
core_canonical,REC-TYP-001,type,TYP-001,InvoiceRequest,supported_exact,official_spec,gold,Keep canonical type,Official request model and manual example align on the core schema
core_canonical,REC-TYP-002,type,TYP-002,PaymentItem,supported_exact,official_spec,gold,Keep canonical type,Official request model and payment guidance support repeated payment allocations
core_canonical,REC-TYP-003,type,TYP-003,InvoiceResult,supported_exact,official_spec,gold,Keep canonical type,Official response field cluster and two phase flow narrative align
core_canonical,REC-TYP-004,type,TYP-004,StatusResponse,supported_exact,official_spec,gold,Keep canonical type,Official service contract and manual endpoint behavior support the response model
core_canonical,REC-TYP-005,type,TYP-005,EnvironmentParametersResponse,supported_exact,official_spec,gold,Keep canonical type,Official environment contract defines the response and reference persistence is only supplemental
core_canonical,REC-TYP-006,type,TYP-006,ValidationErrorResponse,supported_exact,official_spec,gold,Keep canonical type,Official ModelErrors schema directly supports this type
core_canonical,REC-TYP-007,type,TYP-007,InvoiceItem,supported_exact,official_spec,gold,Keep canonical type,Official request model and receipt content inventories support item modeling
core_canonical,REC-TYP-008,type,TYP-008,TaxItem,supported_exact,official_spec,gold,Keep canonical type,Official response field cluster explicitly contains the tax item shape
core_canonical,REC-TYP-009,type,TYP-009,BuyerIdentification,supported_exact,official_codebook,gold,Keep canonical type,The codebook and guidance support one buyer identification value object with code driven semantics
core_canonical,REC-TYP-010,type,TYP-010,ReferentDocument,supported_exact,official_rulebook,gold,Keep canonical type,Rulebook and technical guidance confirm one context driven reference document concept
core_canonical,REC-TYP-011,type,TYP-011,InvoiceOptions,supported_exact,official_spec,gold,Keep canonical type,Official request model and manual example both expose the same option flags
core_canonical,REC-TYP-012,type,TYP-012,EnvironmentEndpoints,supported_exact,official_spec,gold,Keep canonical type,Official environment response defines the endpoint bundle and reference persistence only mirrors it
