BacklogId,SourceUnitId,SourcePath,LineRefs,CandidateKind,LayerHint,CandidateLabel,RawBacklogText,Authority,Confidence,ExistingWorkRefs,SecondPassStatus,Notes
BKL-001,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,2658-2825,contract,lpfr_service,GetStatus,"GET /api/v3/status status contract for both V-SDC and E-SDC; V-SDC uses client certificate and PAC header while E-SDC does not require client authentication.",official_spec,high,CTR-002; TYP-004,pending,Seeded from exact spec lines
BKL-002,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,2724-2819,type_cluster,lpfr_service,GetStatusResponse field cluster,"Status response field set includes isPinRequired auditRequired sdcDateTime lastInvoiceNumber protocolVersion secureElementVersion hardwareVersion softwareVersion deviceSerialNumber make model mssc gsc supportedLanguages uid taxCoreApi currentTaxRates and allTaxRates.",official_spec,high,TYP-004; fields.csv,pending,Keep as a raw cluster until second-pass normalization
BKL-003,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,2731-2740,rule,operational,Audit required threshold,"auditRequired becomes true when total signed amount reaches 75 percent or more of the secure-element maximum limit obtained through the Amount Status APDU command.",official_spec,high,RUL-001; TYP-020,pending,Needs reconciliation with manual-test behavior later
BKL-004,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3306-3389,contract,lpfr_service,VerifyPin,"POST /api/v3/pin E-SDC-only contract with plain-text PIN request body and plain-text general status code response body.",official_spec,high,CTR-004; TYP-024,pending,The service description is explicit about transport shape
BKL-005,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3311-3318,rule,operational,VerifyPin cache and re-entry,"On 0100 the E-SDC remembers the PIN in volatile memory until the card is removed or the E-SDC is switched off; if POS later receives 1500 it must ask for PIN again.",official_spec,high,RUL-015,pending,Important ESIR-LPFR session behavior
BKL-006,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3360-3385,validator,lpfr_service,VerifyPin ASCII validator,"VerifyPin request body must contain only 4 ASCII digits 0-9; invalid format maps to status 2806.",official_spec,high,RUL-101,pending,This is stricter than a generic 4-character constraint
BKL-007,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3370-3387,error_status_set,lpfr_service,VerifyPin status set,"VerifyPin-specific response codes listed here are 0100 2100 2110 1300 2220 2210 2230 2400 2806 and 1999.",official_spec,high,errors_statuses.csv,pending,Keep as a raw status set before regrouping by code system
BKL-008,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3447-3464,contract_detail,lpfr_service,CreateInvoice request headers,"CreateInvoice request headers are Accept application/json Content-Type application/json optional RequestId with max length 32 Accept-Language with supportedLanguages/406 semantics and PAC for V-SDC.",official_spec,high,CTR-001; TYP-033; RUL-013; RUL-095,pending,Important transport-level detail
BKL-009,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3747-3777,type_cluster,lpfr_service,InvoiceRequest model cluster,"Model block lists InvoiceRequest plus nested Payment options and Item model shapes including enum/string duality and option flags omitQRCodeGen and omitTextualRepresentation.",official_spec,high,TYP-001; TYP-002; TYP-004; fields.csv,pending,Second pass should split this into types fields and enum/value constraints
BKL-010,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3731-3743,enum,lpfr_service,PaymentType numeric values,"Payment type numeric mapping is 0 Other 1 Cash 2 Card 3 Check 4 WireTransfer 5 Voucher 6 MobileMoney.",official_spec,high,enums.csv:TaxCorePaymentType,pending,Confirms numeric representation beside string forms
