ContractId,CanonicalName,Layer,Purpose,Transport,EndpointOrInstruction,InputType,OutputType,ErrorSet,Preconditions,Postconditions,Authority,Confidence,SourceRefs,Notes
CTR-001,CreateInvoice,lpfr_service,Fiscalize invoice and return a fiscalized result,http,POST /api/v3/invoices,InvoiceRequest,InvoiceResult,GeneralStatusCodes; ValidationCodes,For E-SDC PIN and secure element availability may be required; For V-SDC client certificate and PAC are required,Invoice is fiscalized or a validation or operational error is returned,official_spec,high,KB-006; KB-007; REF-002,Reference V-SDC submitter confirms the same body contract with a connected-auth envelope built from client certificate plus PAC and optional Accept-Language and RequestId headers
CTR-002,GetStatus,lpfr_service,Read current SDC status,http,GET /api/v3/status,None,StatusResponse,GeneralStatusCodes,None,Current SDC state and capabilities are returned,official_spec,high,KB-006,Environment URLs must not be hardcoded
CTR-003,GetEnvironmentParameters,lpfr_service,Read environment metadata and service endpoints,http,GET /api/v3/environment-parameters,None,EnvironmentParametersResponse,GeneralStatusCodes,None,Environment metadata and endpoints are returned,official_spec,high,KB-006,Environment URLs must not be hardcoded
CTR-004,VerifyPin,lpfr_service,Verify cashier PIN against the secure element,http_plaintext_body,POST /api/v3/pin,PinPlainText,GeneralStatusCodeText,GeneralStatusCodes,Card must be present and E-SDC reachable,PIN is accepted and cached in RAM or a general error code is returned,official_spec,high,KB-006,Request body is plain text PIN and response body is plain text status code
CTR-005,Attention,lpfr_service,Probe E-SDC availability before sensitive operations,http,GET /api/v3/attention,None,None,http_200_only,None,HTTP 200 confirms availability for the next command,official_spec,high,KB-006,Used prior to VerifyPin or CreateInvoice to reduce communication errors
CTR-006,GetLastSignedInvoice,secure_element,Read last signed invoice from secure element,apdu,GetLastSignedInvoice,LastSignedInvoiceRequest,LastSignedInvoiceResponse,SecureElementStatusWords,SE applet version must support the command,Last signed invoice metadata or payload is returned,official_spec,high,KB-006; REF-005; KB-007,Current catalog treats the response as the same byte-level structure as SignInvoiceApduResponse
CTR-007,SelectSEApplet,secure_element,Select the Secure Element applet before subsequent SE APDU commands,apdu,00A4040010A000000748464A492D546178436F726500,None,None,SecureElementStatusWords,Smart card must be inserted,Subsequent APDU commands are routed to SE applet,official_spec,high,KB-006; REF-005,Reference implementation confirms the same AID
CTR-008,GetSecureElementVersion,secure_element,Read secure element API version,apdu,CLA 0x88 INS 0x08,None,SecureElementVersionResponse,SecureElementStatusWords,SE applet selected or command routed to SE applet,Version payload is returned,official_spec,high,KB-006,Response is 12 bytes major minor patch
CTR-009,ForwardSecureElementDirective,secure_element,Forward TaxCore directive payload to secure element,apdu,CLA 0x88 INS 0x40,ForwardSecureElementDirectiveRequest,None,SecureElementStatusWords,SE version and CRC mode must match payload,Directive is forwarded to secure element,official_spec,high,KB-006; REF-005,Reference implementation exposes SECommand primitive
CTR-010,GetCertParams,secure_element,Read UID and certificate validity window from secure element,apdu,CLA 0x88 INS 0x33,None,SecureElementCertParamsResponse,SecureElementStatusWords,SE version must be 3.2.8 or higher,UID NotBefore and NotAfter are returned,official_spec,high,KB-006,
CTR-011,SignInvoiceApdu,secure_element,Sign invoice payload and return fiscalization data,apdu,CLA 0x88 INS 0x13,SignInvoiceApduRequest,SignInvoiceApduResponse,SecureElementStatusWords,PIN verification and valid timestamp may be required,Signed fiscalization payload is returned,official_spec,high,KB-006,CRC support depends on SE version
CTR-012,AmountStatusApdu,secure_element,Read current signed amount and secure element limit,apdu,CLA 0x88 INS 0x14,None,AmountStatusResponse,SecureElementStatusWords,SE applet selected or command routed to SE applet,Current amount and limit are returned,official_spec,high,KB-006; REF-005,
CTR-013,SelectPKIApplet,smart_card,Select the PKI applet on the smart card,apdu,CLA 0x00 INS 0xA4,None,None,SmartCardStatusWords,Smart card must be inserted and the AID must match the smart card secure element version,Subsequent PKI commands are routed to PKI applet,official_spec,high,KB-006; REF-005,Use A000000397425446590201 for versions below 3.1.1 and A000000397425446590009 for versions 3.1.1 and above; REF-005 currently uses the legacy AID
CTR-014,GetInvoiceVerificationJson,public_verification,Read machine-readable receipt verification data from the public verification URL,http,GET <invoice_verification_url> with Accept: application/json,None,InvoiceVerificationResponse,None,None,Receipt verification payload is returned without authentication,official_guidance,high,KB-013,Same verification URL can serve browser mode and JSON mode
CTR-015,ExportSecureElementCertificate,secure_element,Export the secure-element certificate from the smart-card applet,apdu,CLA 0x88 INS 0x04,None,None,SecureElementStatusWords,SE applet selected,Raw certificate bytes are returned and can be parsed into certificate metadata,reference_impl,medium,REF-005; REF-006,Reference reader names this GetSECert
CTR-016,ExportPkiCertificate,smart_card,Export the PKI certificate from the PKI applet,apdu,CLA 0x00 INS 0xCB P1 0x3F P2 0xFF,None,None,SmartCardStatusWords,PKI applet selected,Compressed TLV wrapped certificate bytes are returned and can be decompressed and parsed,reference_impl,medium,REF-005; REF-006,Reference reader inflates the payload before certificate parsing
CTR-017,ExportInternalDataApdu,secure_element,Read internal data from the secure element,apdu,CLA 0x88 INS 0x12,None,None,SecureElementStatusWords,SE applet selected,Internal data bytes are returned,reference_impl,medium,REF-005,Reference reader exposes this as GetInternalData
CTR-018,FinishAuditApdu,secure_element,Send Proof of Audit to finish a local audit session,apdu,CLA 0x88 INS 0x20,ProofOfAudit,None,SecureElementStatusWords,SE applet selected and proof-of-audit payload prepared,Audit session is finished or an APDU error is returned,reference_impl,medium,REF-005; KB-006,Reference reader exposes this as FinishAudit while the official APDU matrix documents StopAudit errors
