TypeId,CanonicalName,SourceName,Category,Layer,Version,Description,Authority,Confidence,SourceRefs,Notes
TYP-001,InvoiceRequest,InvoiceRequest,request_dto,lpfr_service,v3,Official Create Invoice request payload,official_spec,high,KB-006,Canonical request shape should follow spec not sample app convenience fields
TYP-002,PaymentItem,Payment,component_dto,lpfr_service,v3,One payment allocation entry inside InvoiceRequest,official_spec,high,KB-006,Canonical internal name; source-published component name is Payment and the spec supports multiple payment allocations
TYP-003,InvoiceResult,InvoiceResult,response_dto,lpfr_service,v3,Official Create Invoice response payload,official_spec,high,KB-006,Reference app uses InvoiceResponse naming
TYP-004,StatusResponse,GetStatusResponse,response_dto,lpfr_service,v3,Official Get Status response payload,official_spec,high,KB-006,Canonical internal name; source-published model name is GetStatusResponse
TYP-005,EnvironmentParametersResponse,EnvironmentParametersResponse,response_dto,lpfr_service,v3,Official Get Environment Parameters response payload,official_spec,high,KB-006,Known endpoint members are repeated across official examples while parsers should stay forward-compatible with additional fields
TYP-006,ValidationErrorResponse,ModelErrors,error_dto,lpfr_service,v3,Structured validation error payload with property-level errors,official_spec,high,KB-006,Official ModelErrors schema extracted from the specification
TYP-007,InvoiceItem,Item,component_dto,lpfr_service,v3,Official invoice item payload,official_spec,high,KB-006,Used in InvoiceRequest only in the official spec
TYP-008,TaxItem,TaxItem,component_dto,lpfr_service,v3,Official tax breakdown payload in InvoiceResult,official_spec,high,KB-006,Returned after fiscalization
TYP-009,BuyerIdentification,buyerId,value_object,domain,rs,Canonical buyer identification value across Serbian flows,official_technical,high,KB-005; KB-016,Codebook is extracted and strict per-code regexes remain the only open tightening step
TYP-010,ReferentDocument,referentDocument,component_dto,domain,rs,Reference to a prior invoice or relevant document,official_technical,medium,KB-003; KB-005; KB-006,Rules depend on invoice and transaction context
TYP-011,InvoiceOptions,inline_model(options),component_dto,lpfr_service,v3,Create Invoice output control options,official_spec,high,KB-006,Canonical internal name; the source table exposes this as an unnamed inline model
