MatrixId,Family,ExistingId,CanonicalName,ExistingAuthority,ExistingConfidence,ExistingSourceRefs,BacklogSupportIds,ReconciliationStatus,TargetAuthority,TargetConfidence,Action,Notes
REC-CTR-001,contract,CTR-001,CreateInvoice,official_spec,high,KB-006; KB-007; REF-002,BKL-134; BKL-008; BKL-009; BKL-011; BKL-023; BKL-043,supported_exact,official_spec,gold,Keep canonical contract and preserve transport/detail notes,Direct official contract support now exists and reference V-SDC envelope stays supplemental
REC-CTR-002,contract,CTR-002,GetStatus,official_spec,high,KB-006,BKL-001; BKL-002; BKL-042; BKL-044,supported_exact,official_spec,gold,Keep canonical contract,Official service contract and manual endpoint behavior align cleanly
REC-CTR-003,contract,CTR-003,GetEnvironmentParameters,official_spec,high,KB-006,BKL-132; BKL-042; BKL-032,supported_exact,official_spec,gold,Keep canonical contract,Official service contract now has direct evidence and manual no-card behavior support
REC-CTR-004,contract,CTR-004,VerifyPin,official_spec,high,KB-006,BKL-004; BKL-005; BKL-006; BKL-007; BKL-044,supported_exact,official_spec,gold,Keep canonical contract,Transport shape and validator/status set are explicitly documented
REC-CTR-005,contract,CTR-005,Attention,official_spec,high,KB-006,BKL-133,supported_exact,official_spec,gold,Keep canonical contract,Direct official E-SDC availability probe contract added during reconciliation
REC-CTR-006,contract,CTR-006,GetLastSignedInvoice,official_spec,high,KB-006; REF-005; KB-007,BKL-013; BKL-139; BKL-042,supported_split,official_spec,gold,Split into HTTP recovery contract and secure-element APDU contract,Old row conflated GET /api/v3/invoices/{requestId} recovery with the distinct APDU Get Last Signed Invoice command
REC-CTR-007,contract,CTR-007,SelectSEApplet,official_spec,high,KB-006; REF-005,BKL-135; BKL-131,supported_exact,official_spec,gold,Keep canonical contract,Official APDU definition and reference sample agree on the AID and usage
REC-CTR-008,contract,CTR-008,GetSecureElementVersion,official_spec,high,KB-006,BKL-136,supported_exact,official_spec,gold,Keep canonical contract,Direct official APDU version contract exists
REC-CTR-009,contract,CTR-009,ForwardSecureElementDirective,official_spec,high,KB-006; REF-005,BKL-137; BKL-026,supported_exact,official_spec,gold,Keep canonical contract,Official APDU directive contract is primary and reference SECommand remains corroborating implementation evidence
REC-CTR-010,contract,CTR-010,GetCertParams,official_spec,high,KB-006,BKL-141,supported_exact,official_spec,gold,Keep canonical contract,Direct official APDU certificate-parameter contract exists
REC-CTR-011,contract,CTR-011,SignInvoiceApdu,official_spec,high,KB-006,BKL-143; BKL-129; BKL-130; BKL-131,supported_exact,official_spec,gold,Keep canonical contract,Official APDU contract is primary and reference samples provide payload-shape deltas by version
REC-CTR-012,contract,CTR-012,AmountStatusApdu,official_spec,high,KB-006; REF-005,BKL-144; BKL-003; BKL-026,supported_exact,official_spec,gold,Keep canonical contract,Official APDU contract plus audit-threshold rule and reference reader corroboration align
REC-CTR-013,contract,CTR-013,SelectPKIApplet,official_spec,high,KB-006; REF-005,BKL-142; BKL-026,supported_exact,official_spec,gold,Keep canonical contract,Official version-gated AIDs should drive the canonical form while legacy reference AID remains corroborating
REC-CTR-014,contract,CTR-014,GetInvoiceVerificationJson,official_guidance,high,KB-013,BKL-020,supported_exact,official_guidance,silver,Keep canonical contract,Public verification JSON mode remains guidance-backed rather than core protocol-backed
REC-CTR-015,contract,CTR-015,ExportSecureElementCertificate,reference_impl,medium,REF-005; REF-006,BKL-138; BKL-025; BKL-026,supported_merge,official_spec,gold,Rename or alias to official ExportCertificateApdu while preserving certificate-metadata notes,Old row is real but its strongest backing is now the official Export Certificate APDU section
