CandidateId,SourcePath,LineRefs,Category,CandidateName,RawObservation,Disposition,CanonicalTarget,SourceRefs,Notes
CAND-001,knowledge_base/Concepts.pdf,185-217,type,PfxCredentialPrimitives,PFX password is always 8 uppercase alphanumeric and PAC is always 6 uppercase alphanumeric,normalized_existing,TYP-029; TYP-030; RUL-075,KB-010,Confirmed by strict manual pass
CAND-002,knowledge_base/Concepts.pdf,232-247;341-350,rule,VerificationArtifacts,Verification URL is mandatory on fiscal invoices and QR is its machine-readable printed form,normalized_existing,TYP-032; RUL-011,KB-010,Concepts guide adds explicit wording
CAND-003,knowledge_base/Concepts.pdf,311-323,rule,SmartCardPinShape,Smart card PIN is always a 4-digit code,normalized_existing,RUL-015,KB-010,Concepts guide confirms RAM session semantics context
CAND-004,knowledge_base/Concepts.pdf,401-476,type,ManufacturerRegistrationCode,MRC format is ProductCode-ProductVersionCode-DeviceSerialNumber and all parts are mandatory,normalized_existing,TYP-031; EX-031,KB-010,Strict pass reconfirmed the three-part structure
CAND-005,knowledge_base/Technical-Documentation.pdf,3430-3463,primitive,RequestIdHeader,CreateInvoice RequestId is optional and max length 32,normalized_new,TYP-033; RUL-095,KB-006,Needed for recovery workflow
CAND-006,knowledge_base/Technical-Documentation.pdf,5297-5364,rule,LastSignedInvoiceRecovery,GetLastSignedInvoice should use globally unique RequestId and persist latest responses in non-volatile storage,normalized_new,RUL-096; RUL-097; EX-041,KB-006,Recovery guidance is operationally important
CAND-007,knowledge_base/Technical-Documentation.pdf,3306-3389,rule,VerifyPinAsciiDigits,VerifyPin request body is plain text and PIN can contain only 4 ASCII digits 0-9,normalized_new,RUL-101,KB-006,Separated from caching rule
CAND-008,knowledge_base/Technical-Documentation.pdf,3398-3799,schema,CreateInvoiceHeadersAndOptions,Accept-Language and RequestId headers plus invoice options are explicitly specified,normalized_existing,CTR-001; RUL-013; fields.csv:InvoiceOptions,KB-006,Strict pass confirmed no drift in canonical contract
CAND-009,knowledge_base/Technical-Documentation.pdf,3795-3898,schema,InvoiceResultTailFields,businessName locationName address tin district taxGroupRevision mrc and messages are part of the official response tail,normalized_existing,TYP-003 fields,KB-006,Reconfirmed after linear read
CAND-010,knowledge_base/Апликације.pdf,200-474,contract,PublicVerificationJsonMode,Invoice verification URL supports GET with Accept application/json and returns structured JSON without authentication,normalized_new,CTR-014; TYP-034; TYP-035; TYP-036; TYP-037; RUL-098; EX-042,KB-013,This was previously only lightly seeded
CAND-011,knowledge_base/VSDCRequestSubmitterV3.0/VSDCRequestSubmitter/Proxies/VSDCApiProxy.cs,1-69,rule,VsdcCertificateSelection,Reference V-SDC client loads a certificate from CurrentUser personal store by subject name and sends PAC RequestId and Accept-Language headers,normalized_existing,CTR-001; RUL-079; EX-035,REF-002,Strict pass confirmed transport envelope details
CAND-012,knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertificateTypes.cs,9-110,enum,CertificateTypes,Reference certificate library defines certificate classes V31 through V38 and their meanings,normalized_new,ENUM-066..ENUM-073,REF-006,Useful for future certificate adapter logic
CAND-013,knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/Certificate.cs,79-245,type,CertificateMetadata,Reference certificate helper exposes parsed metadata including UID TIN TaxCoreApiUrl requestedBy and certificate type,normalized_new,TYP-038 plus fields,REF-006,Reference only and kept below official sources
CAND-014,knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertRequestData.cs,5-38,type,CertificateRequestData,Reference helper has a request-data object for subject and issuance fields,reference_only_no_catalog_entry,None,REF-006,Deferred because it is adapter-internal and not a fiscal protocol contract
CAND-015,knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/ApduCommandService.cs,10-125,contract,ExtraApduCommands,Reference reader exposes ExportInternalData and FinishAudit APDUs in addition to already seeded commands,normalized_new,CTR-015; CTR-016; CTR-017; CTR-018; TYP-039,REF-005; KB-006,Bridges reference implementation with official StopAudit error matrix
CAND-016,knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/CardReaderService.cs,43-101;167-205,errors,PkiAppletStatuses,Reference PKI flow treats 0x6983 as locked and 0x63Cx as wrong PIN with remaining tries encoded in SW2,normalized_new,RUL-099; RUL-100; SMART_CARD_STATUS rows,REF-005,Important for future security-adapter UX
CAND-017,knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/ui/invoice/InvoiceFragment.kt,755-787;1000-1010,rule,ReferenceWrapperFieldsAndRegex,Reference Android host adds wrapper-only paymentType and hash fields and validates referentDocumentNumber with the canonical 8-8-n pattern,normalized_existing,open_questions.csv; EX-035,REF-001,No canonical schema change but useful evidence
CAND-018,knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/local/JournalManager.kt,118-163,rule,JournalPersistenceShape,Reference host persists fiscal response fields plus buyer and payment context in the local journal,reference_only_no_catalog_entry,None,REF-001,Useful implementation evidence but not elevated to canonical protocol
