Artifact,RowKey,CanonicalName,CatalogLayer,CurrentAuthority,CurrentConfidence,CurrentSourceRefs,Basis,Notes
contracts.csv,CTR-001,CreateInvoice,core_canonical,official_spec,high,KB-006; KB-007; REF-002,REC-CTR-001,Direct official contract support now exists and reference V-SDC envelope stays supplemental
contracts.csv,CTR-002,GetStatus,core_canonical,official_spec,high,KB-006,REC-CTR-002,Official service contract and manual endpoint behavior align cleanly
contracts.csv,CTR-003,GetEnvironmentParameters,core_canonical,official_spec,high,KB-006,REC-CTR-003,Official service contract now has direct evidence and manual no-card behavior support
contracts.csv,CTR-004,VerifyPin,core_canonical,official_spec,high,KB-006,REC-CTR-004,Transport shape and validator/status set are explicitly documented
contracts.csv,CTR-005,Attention,core_canonical,official_spec,high,KB-006,REC-CTR-005,Direct official E-SDC availability probe contract added during reconciliation
contracts.csv,CTR-006,GetLastSignedInvoiceApdu,core_canonical,official_spec,high,KB-006; REF-005,transform_resolution,Resolved REC-CTR-006 split; current row is the secure-element APDU contract
contracts.csv,CTR-007,SelectSEApplet,core_canonical,official_spec,high,KB-006; REF-005,REC-CTR-007,Official APDU definition and reference sample agree on the AID and usage
contracts.csv,CTR-008,GetSecureElementVersion,core_canonical,official_spec,high,KB-006,REC-CTR-008,Direct official APDU version contract exists
contracts.csv,CTR-009,ForwardSecureElementDirective,core_canonical,official_spec,high,KB-006; REF-005,REC-CTR-009,Official APDU directive contract is primary and reference SECommand remains corroborating implementation evidence
contracts.csv,CTR-010,GetCertParams,core_canonical,official_spec,high,KB-006,REC-CTR-010,Direct official APDU certificate-parameter contract exists
contracts.csv,CTR-011,SignInvoiceApdu,core_canonical,official_spec,high,KB-006,REC-CTR-011,Official APDU contract is primary and reference samples provide payload-shape deltas by version
contracts.csv,CTR-012,AmountStatusApdu,core_canonical,official_spec,high,KB-006; REF-005,REC-CTR-012,Official APDU contract plus audit-threshold rule and reference reader corroboration align
contracts.csv,CTR-013,SelectPKIApplet,core_canonical,official_spec,high,KB-006; REF-005,REC-CTR-013,Official version-gated AIDs should drive the canonical form while legacy reference AID remains corroborating
contracts.csv,CTR-014,GetInvoiceVerificationJson,guidance_canonical,official_guidance,high,KB-013,REC-CTR-014,Public verification JSON mode remains guidance-backed rather than core protocol-backed
contracts.csv,CTR-015,ExportCertificateApdu,core_canonical,official_spec,high,KB-006; REF-006,transform_resolution,Resolved REC-CTR-015 rename to official ExportCertificateApdu
contracts.csv,CTR-016,ExportPkiCertificate,reference_only,reference_impl,medium,REF-005; REF-006,REC-CTR-016,Current corpus support is implementation-only
contracts.csv,CTR-017,ExportAuditDataApdu,core_canonical,official_spec,high,KB-006; REF-005,transform_resolution,Resolved REC-CTR-017 rename to official ExportAuditDataApdu
contracts.csv,CTR-018,EndAuditApdu,core_canonical,official_spec,high,KB-006; REF-005,transform_resolution,Resolved REC-CTR-018 rename to official EndAuditApdu
contracts.csv,CTR-019,GetLastSignedInvoiceHttp,core_canonical,official_spec,high,KB-006,transform_resolution,New core contract created while resolving REC-CTR-006 HTTP recovery split
contracts.csv,CTR-020,GetPinTriesLeftFromSEApplet,core_canonical,official_spec,high,KB-006,transform_resolution,New core contract added during audit and APDU second-pass normalization
contracts.csv,CTR-021,ExportTaxCorePublicKeyApdu,core_canonical,official_spec,high,KB-006,transform_resolution,New core contract added during audit and APDU second-pass normalization
contracts.csv,CTR-022,StartAuditApdu,core_canonical,official_spec,high,KB-006,transform_resolution,New core contract added during audit and APDU second-pass normalization
contracts.csv,CTR-023,Configuration,core_canonical,official_spec,high,KB-006,TXC-CTR-001,Shared TaxCore configuration contract is explicitly published and distinct from GetEnvironmentParameters even though the response graph overlaps
contracts.csv,CTR-024,TaxRates,core_canonical,official_spec,high,KB-006,TXC-CTR-002,Shared Tax Rates contract is explicitly published and complements but does not replace GetStatus tax metadata
contracts.csv,CTR-025,Environments,core_canonical,official_spec,high,KB-006,TXC-CTR-003,Shared Environments contract is explicitly published as a public environment-discovery surface
contracts.csv,CTR-026,EncryptionCertificate,core_canonical,official_spec,high,KB-006,TXC-CTR-004,Shared Encryption Certificate contract is explicitly published as a public key-discovery surface
contracts.csv,CTR-027,RequestAuthenticationToken,core_canonical,official_spec,high,KB-006,TXC-CTR-005,Certificate-authenticated token bootstrap is explicitly published for E-SDC backend flows
contracts.csv,CTR-028,GetInitializationCommands,core_canonical,official_spec,high,KB-006,TXC-CTR-006,Initialization-command pull contract is explicitly published for E-SDC bootstrap and remediation
contracts.csv,CTR-029,NotifyOnlineStatus,core_canonical,official_spec,high,KB-006,TXC-CTR-007,Online-status heartbeat contract is explicitly published and can also return command arrays
contracts.csv,CTR-030,NotifyCommandProcessed,core_canonical,official_spec,high,KB-006,TXC-CTR-008,Command-processing acknowledgement contract is explicitly published for E-SDC command lifecycle handling
contracts.csv,CTR-031,SubmitAuditPackage,core_canonical,official_spec,high,KB-006,TXC-CTR-009,Audit-package submission contract is explicitly published and paired with a documented status family
contracts.csv,CTR-032,SubmitAuditRequestPayload,core_canonical,official_spec,high,KB-006,TXC-CTR-010,Audit-proof submission contract is explicitly published and bridges Start Audit plus Amount Status to the backend
types.csv,TYP-001,InvoiceRequest,core_canonical,official_spec,high,KB-006,REC-TYP-001,Official request model and manual example align on the core schema
types.csv,TYP-002,PaymentItem,core_canonical,official_spec,high,KB-006,REC-TYP-002,Official request model and payment guidance support repeated payment allocations
types.csv,TYP-003,InvoiceResult,core_canonical,official_spec,high,KB-006,REC-TYP-003,Official response field cluster and two phase flow narrative align
types.csv,TYP-004,StatusResponse,core_canonical,official_spec,high,KB-006,REC-TYP-004,Official service contract and manual endpoint behavior support the response model
types.csv,TYP-005,EnvironmentParametersResponse,core_canonical,official_spec,high,KB-006,REC-TYP-005,Official environment contract defines the response and reference persistence is only supplemental
types.csv,TYP-006,ValidationErrorResponse,core_canonical,official_spec,high,KB-006,REC-TYP-006,Official ModelErrors schema directly supports this type
types.csv,TYP-007,InvoiceItem,core_canonical,official_spec,high,KB-006,REC-TYP-007,Official request model and receipt content inventories support item modeling
types.csv,TYP-008,TaxItem,core_canonical,official_spec,high,KB-006,REC-TYP-008,Official response field cluster explicitly contains the tax item shape
types.csv,TYP-009,BuyerIdentification,core_canonical,official_technical,high,KB-005; KB-016,REC-TYP-009,The codebook and guidance support one buyer identification value object with code driven semantics
types.csv,TYP-010,ReferentDocument,core_canonical,official_technical,medium,KB-003; KB-005; KB-006,REC-TYP-010,Rulebook and technical guidance confirm one context driven reference document concept
types.csv,TYP-011,InvoiceOptions,core_canonical,official_spec,high,KB-006,REC-TYP-011,Official request model and manual example both expose the same option flags
types.csv,TYP-012,EnvironmentEndpoints,core_canonical,official_spec,high,KB-006; REF-001,REC-TYP-012,Official environment response defines the endpoint bundle and reference persistence only mirrors it
types.csv,TYP-013,PinPlainText,core_canonical,official_spec,high,KB-006; KB-010,REC-TYP-013,VerifyPin transport and formatting rules define this primitive cleanly
types.csv,TYP-014,GeneralStatusCodeText,core_canonical,official_spec,high,KB-006,REC-TYP-014,Plain text status code behavior is explicit in the VerifyPin contract and manual matrices
types.csv,TYP-015,BuyerIdentificationCode,core_canonical,official_technical,high,KB-016; KB-005,REC-TYP-015,The buyer codebook is the primary authority for this prefix family
types.csv,TYP-016,BuyerOptionalFieldCode,core_canonical,official_technical,high,KB-016; KB-005,REC-TYP-016,The optional buyer field codebook directly supports this prefix family
types.csv,TYP-017,SecureElementVersionResponse,core_canonical,official_spec,high,KB-006,REC-TYP-017,Official APDU response definition is direct and complete
types.csv,TYP-018,SecureElementCertParamsResponse,core_canonical,official_spec,high,KB-006,REC-TYP-018,Official APDU response definition is direct and complete
types.csv,TYP-019,AmountStatusResponse,core_canonical,official_spec,high,KB-006,REC-TYP-019,Official APDU structure and audit threshold guidance align on the same payload
types.csv,TYP-020,SignInvoiceApduRequest,core_canonical,official_spec,high,KB-006,REC-TYP-020,Official APDU structure is primary and reference samples provide version delta detail
types.csv,TYP-021,SignInvoiceApduResponse,core_canonical,official_spec,high,KB-006,REC-TYP-021,Official Sign Invoice and Get Last Signed Invoice sections support the same response structure
types.csv,TYP-022,LastSignedInvoiceRequest,derived_layer,official_spec,high,KB-006,REC-TYP-022,Official evidence proves the APDU command but not a meaningful request body schema
types.csv,TYP-023,LastSignedInvoiceResponse,core_canonical,official_spec,high,KB-006,REC-TYP-023,Official APDU section explicitly reuses the Sign Invoice response structure
types.csv,TYP-024,ForwardSecureElementDirectiveRequest,core_canonical,official_spec,high,KB-006,REC-TYP-024,Official APDU contract directly supports an opaque directive payload type
types.csv,TYP-025,ValidationErrorItem,core_canonical,official_spec,high,KB-006,REC-TYP-025,Official ModelError entry shape directly supports this type
types.csv,TYP-026,SecurityElementFormFactor,core_canonical,normative,high,KB-011,REC-TYP-026,The BE rulebook directly enumerates allowed form factors
types.csv,TYP-027,SecurityElementCounterFamily,core_canonical,normative,high,KB-011,REC-TYP-027,The BE rulebook directly describes the required counter families
types.csv,TYP-028,Uid,core_canonical,official_spec,high,KB-006; KB-010,REC-TYP-028,Certificate export and cert params support the same UID primitive
types.csv,TYP-029,PacCode,core_canonical,official_spec,high,KB-010,REC-TYP-029,Concepts material defines this primitive explicitly
types.csv,TYP-030,PfxCertificatePassword,core_canonical,official_spec,high,KB-010,REC-TYP-030,Concepts material defines this primitive explicitly
types.csv,TYP-031,ManufacturerRegistrationCode,core_canonical,official_spec,high,KB-006; KB-010,REC-TYP-031,Concepts and protocol guidance align on MRC structure and usage
types.csv,TYP-032,VerificationUrl,core_canonical,official_spec,high,KB-010; KB-013,REC-TYP-032,Conceptual rendering and public verification guidance support one unified verification URL concept
types.csv,TYP-033,RequestId,core_canonical,official_spec,high,KB-006,REC-TYP-033,CreateInvoice transport detail and recovery guidance define this correlation primitive
types.csv,TYP-034,InvoiceVerificationResponse,guidance_canonical,official_guidance,high,KB-013,REC-TYP-034,Applications guidance explicitly documents the JSON verification payload
types.csv,TYP-035,VerifiedInvoiceRequestView,guidance_canonical,official_guidance,high,KB-013,REC-TYP-035,The applications guide explicitly exposes the nested request view
types.csv,TYP-036,VerifiedPaymentItem,guidance_canonical,official_guidance,high,KB-013,REC-TYP-036,The applications guide explicitly exposes the nested payment view
types.csv,TYP-037,VerifiedInvoiceResultView,guidance_canonical,official_guidance,high,KB-013,REC-TYP-037,The applications guide explicitly exposes the nested result view
types.csv,TYP-038,CertificateMetadata,reference_only,reference_impl,medium,REF-006,REC-TYP-038,Official corpus supports certificate export but not this exact helper object
types.csv,TYP-039,ProofOfAudit,core_canonical,official_spec,high,KB-006; REF-005,REC-TYP-039,Official audit commands support one opaque proof payload consumed at audit finalization
types.csv,TYP-040,ExportedCertificateDer,core_canonical,official_spec,high,KB-006,transform_resolution,New core primitive added while resolving official ExportCertificateApdu output
types.csv,TYP-041,PinTriesLeft,core_canonical,official_spec,high,KB-006,transform_resolution,New core primitive added while resolving GetPinTriesLeftFromSEApplet output
types.csv,TYP-042,TaxCorePublicKey,core_canonical,official_spec,high,KB-006,transform_resolution,New core primitive added while resolving ExportTaxCorePublicKeyApdu output
