TypeId,CanonicalName,SourceName,Category,Layer,Version,Description,Authority,Confidence,SourceRefs,Notes
TYP-001,InvoiceRequest,InvoiceRequest,request_dto,lpfr_service,v3,Official Create Invoice request payload,official_spec,high,KB-006,Canonical request shape should follow spec not sample app convenience fields
TYP-002,PaymentItem,payment,component_dto,lpfr_service,v3,One payment allocation entry inside InvoiceRequest,official_spec,high,KB-006,Spec supports multiple payment allocations
TYP-003,InvoiceResult,InvoiceResult,response_dto,lpfr_service,v3,Official Create Invoice response payload,official_spec,high,KB-006,Reference app uses InvoiceResponse naming
TYP-004,StatusResponse,StatusResponse,response_dto,lpfr_service,v3,Official Get Status response payload,official_spec,high,KB-006,Contains both general and manufacturer status arrays
TYP-005,EnvironmentParametersResponse,EnvironmentParametersResponse,response_dto,lpfr_service,v3,Official Get Environment Parameters response payload,official_spec,high,KB-006,Known endpoint members are repeated across official examples while parsers should stay forward-compatible with additional fields
TYP-006,ValidationErrorResponse,ModelErrors,error_dto,lpfr_service,v3,Structured validation error payload with property-level errors,official_spec,high,KB-006,Official ModelErrors schema extracted from the specification
TYP-007,InvoiceItem,Item,component_dto,lpfr_service,v3,Official invoice item payload,official_spec,high,KB-006,Used in InvoiceRequest only in the official spec
TYP-008,TaxItem,TaxItem,component_dto,lpfr_service,v3,Official tax breakdown payload in InvoiceResult,official_spec,high,KB-006,Returned after fiscalization
TYP-009,BuyerIdentification,buyerId,value_object,domain,rs,Canonical buyer identification value across Serbian flows,official_technical,high,KB-005; KB-016,Codebook is extracted and strict per-code regexes remain the only open tightening step
TYP-010,ReferentDocument,referentDocument,component_dto,domain,rs,Reference to a prior invoice or relevant document,official_technical,medium,KB-003; KB-005; KB-006,Rules depend on invoice and transaction context
TYP-011,InvoiceOptions,inline_model,component_dto,lpfr_service,v3,Create Invoice output control options,official_spec,high,KB-006,Controls QR generation and textual representation
TYP-012,EnvironmentEndpoints,endpoints,component_dto,lpfr_service,v3,Environment endpoint bundle returned by Get Environment Parameters,official_spec,high,KB-006; REF-001,Known keys taxpayerAdminPortal taxCoreApi vsdc and root are repeated in official examples and mirrored by the reference app but the object should remain open-ended
TYP-013,PinPlainText,PinString,primitive,lpfr_service,v3,Plain text PIN body used by VerifyPin,official_spec,high,KB-006; KB-010,Exactly four ASCII digits and reused as the smart-card PIN concept
TYP-014,GeneralStatusCodeText,StatusCodeString,primitive,lpfr_service,v3,Plain text general status or error code,official_spec,high,KB-006,Used by VerifyPin and status arrays
TYP-015,BuyerIdentificationCode,buyerId code,value_object,domain,rs,Prefix code used in buyerId to determine identification document kind,official_technical,high,KB-016; KB-005,Value always precedes the identifier payload
TYP-016,BuyerOptionalFieldCode,buyerCostCenterId code,value_object,domain,rs,Prefix code used in buyerCostCenterId to determine optional buyer-purpose field semantics,official_technical,high,KB-016; KB-005,Value always precedes the payload after a colon
TYP-017,SecureElementVersionResponse,GetSecureElementVersion response,response_dto,secure_element,applet,Secure element version response containing major minor patch segments,official_spec,high,KB-006,Three unsigned integer version segments in 12 bytes
TYP-018,SecureElementCertParamsResponse,GetCertParams response,response_dto,secure_element,applet,UID and certificate validity timestamps returned by secure element,official_spec,high,KB-006,
TYP-019,AmountStatusResponse,Amount Status response,response_dto,secure_element,applet,Current signed amount and secure element limit payload,official_spec,high,KB-006,Current extraction captures the exact 7-byte sum and 7-byte limit split
TYP-020,SignInvoiceApduRequest,Sign Invoice command data,request_dto,secure_element,applet,Byte-level command payload sent to secure element for signing,official_spec,high,KB-006,Current extraction captures the canonical 7-byte amount layout and CRC variant
TYP-021,SignInvoiceApduResponse,Sign Invoice response data,response_dto,secure_element,applet,Byte-level fiscalization payload returned by secure element after signing,official_spec,high,KB-006,Current extraction captures counters encrypted data signature and optional CRC
TYP-022,LastSignedInvoiceRequest,Get Last Signed Invoice request,request_dto,secure_element,applet,APDU invocation for replaying the last signed invoice payload,official_spec,high,KB-006,No command data body
TYP-023,LastSignedInvoiceResponse,Get Last Signed Invoice response,response_dto,secure_element,applet,Last signed invoice data replay with same structure as Sign Invoice response,official_spec,high,KB-006,
TYP-024,ForwardSecureElementDirectiveRequest,Forward Secure Element Directive request,request_dto,secure_element,applet,Opaque directive payload received from TaxCore and forwarded to secure element,official_spec,high,KB-006,512 byte payload with optional CRC
TYP-025,ValidationErrorItem,ModelError,component_dto,lpfr_service,v3,Property-level validation error entry inside ValidationErrorResponse,official_spec,high,KB-006,Contains the property path and the associated shared status codes
TYP-026,SecurityElementFormFactor,BE form factor,value_object,secure_element,rs,Normative allowed issuance forms for the Serbian security element,normative,high,KB-011,Extracted from the BE rulebook not from a wire protocol
TYP-027,SecurityElementCounterFamily,BE counter family,value_object,secure_element,rs,Normative counter families that the Serbian security element must maintain and increase after each transaction,normative,high,KB-011,Describes legal counter obligations rather than an exposed API schema
TYP-028,Uid,UID,primitive,domain,shared,Cross-layer secure-element unique identifier used in certificates invoice numbers and status payloads,official_spec,high,KB-006; KB-010,Always 8 uppercase alphanumeric characters and stored in the certificate Subject SERIALNUMBER field
TYP-029,PacCode,PAC,primitive,domain,shared,Authentication code associated with a PFX certificate for connected fiscalization,official_spec,high,KB-010,Always 6 uppercase alphanumeric characters
TYP-030,PfxCertificatePassword,PFX Certificate Password,primitive,domain,shared,Installation password associated with an issued PFX certificate,official_spec,high,KB-010,Always 8 uppercase alphanumeric characters
TYP-031,ManufacturerRegistrationCode,MRC,value_object,domain,shared,Manufacturer registration code attached to E-SDC products and audit packages,official_spec,high,KB-006; KB-010,Canonical three-part format ProductCode-ProductVersionCode-DeviceSerialNumber
TYP-032,VerificationUrl,Verification URL,primitive,domain,shared,Unified invoice-verification hyperlink returned after fiscalization and used for public receipt validation,official_spec,high,KB-010; KB-013,Printed QR codes are a machine-readable representation of this URL
