CatalogLayer,LayerBasis,LayerNotes,TypeId,CanonicalName,SourceName,Category,Layer,Version,Description,Authority,Confidence,SourceRefs,Notes
core_canonical,REC-TYP-001,Official request model and manual example align on the core schema,TYP-001,InvoiceRequest,InvoiceRequest,request_dto,lpfr_service,v3,Official Create Invoice request payload,official_spec,high,KB-006,Canonical request shape should follow spec not sample app convenience fields
core_canonical,REC-TYP-002,Official request model and payment guidance support repeated payment allocations,TYP-002,PaymentItem,Payment,component_dto,lpfr_service,v3,One payment allocation entry inside InvoiceRequest,official_spec,high,KB-006,Canonical internal name; source-published component name is Payment and the spec supports multiple payment allocations
core_canonical,REC-TYP-003,Official response field cluster and two phase flow narrative align,TYP-003,InvoiceResult,InvoiceResult,response_dto,lpfr_service,v3,Official Create Invoice response payload,official_spec,high,KB-006,Reference app uses InvoiceResponse naming
core_canonical,REC-TYP-004,Official service contract and manual endpoint behavior support the response model,TYP-004,StatusResponse,GetStatusResponse,response_dto,lpfr_service,v3,Official Get Status response payload,official_spec,high,KB-006,Canonical internal name; source-published model name is GetStatusResponse
core_canonical,REC-TYP-005,Official environment contract defines the response and reference persistence is only supplemental,TYP-005,EnvironmentParametersResponse,EnvironmentParametersResponse,response_dto,lpfr_service,v3,Official Get Environment Parameters response payload,official_spec,high,KB-006,Known endpoint members are repeated across official examples while parsers should stay forward-compatible with additional fields
core_canonical,REC-TYP-006,Official ModelErrors schema directly supports this type,TYP-006,ValidationErrorResponse,ModelErrors,error_dto,lpfr_service,v3,Structured validation error payload with property-level errors,official_spec,high,KB-006,Official ModelErrors schema extracted from the specification
core_canonical,REC-TYP-007,Official request model and receipt content inventories support item modeling,TYP-007,InvoiceItem,Item,component_dto,lpfr_service,v3,Official invoice item payload,official_spec,high,KB-006,Used in InvoiceRequest only in the official spec
core_canonical,REC-TYP-008,Official response field cluster explicitly contains the tax item shape,TYP-008,TaxItem,TaxItem,component_dto,lpfr_service,v3,Official tax breakdown payload in InvoiceResult,official_spec,high,KB-006,Returned after fiscalization
core_canonical,REC-TYP-009,The codebook and guidance support one buyer identification value object with code driven semantics,TYP-009,BuyerIdentification,buyerId,value_object,domain,rs,Canonical buyer identification value across Serbian flows,official_technical,high,KB-005; KB-016,Codebook is extracted and strict per-code regexes remain the only open tightening step
core_canonical,REC-TYP-010,Rulebook and technical guidance confirm one context driven reference document concept,TYP-010,ReferentDocument,referentDocument,component_dto,domain,rs,Reference to a prior invoice or relevant document,official_technical,medium,KB-003; KB-005; KB-006,Rules depend on invoice and transaction context
core_canonical,REC-TYP-011,Official request model and manual example both expose the same option flags,TYP-011,InvoiceOptions,inline_model(options),component_dto,lpfr_service,v3,Create Invoice output control options,official_spec,high,KB-006,Canonical internal name; the source table exposes this as an unnamed inline model
core_canonical,REC-TYP-012,Official environment response defines the endpoint bundle and reference persistence only mirrors it,TYP-012,EnvironmentEndpoints,endpoints,component_dto,lpfr_service,v3,Environment endpoint bundle returned by Get Environment Parameters,official_spec,high,KB-006; REF-001,Known keys taxpayerAdminPortal taxCoreApi vsdc and root are repeated in official examples and mirrored by the reference app but the object should remain open-ended
core_canonical,REC-TYP-013,VerifyPin transport and formatting rules define this primitive cleanly,TYP-013,PinPlainText,PinString,primitive,lpfr_service,v3,Plain text PIN body used by VerifyPin,official_spec,high,KB-006; KB-010,Exactly four ASCII digits and reused as the smart-card PIN concept
core_canonical,REC-TYP-014,Plain text status code behavior is explicit in the VerifyPin contract and manual matrices,TYP-014,GeneralStatusCodeText,StatusCodeString,primitive,lpfr_service,v3,Plain text general status or error code,official_spec,high,KB-006,Used by VerifyPin and status arrays
core_canonical,REC-TYP-015,The buyer codebook is the primary authority for this prefix family,TYP-015,BuyerIdentificationCode,buyerId code,value_object,domain,rs,Prefix code used in buyerId to determine identification document kind,official_technical,high,KB-016; KB-005,Value always precedes the identifier payload
core_canonical,REC-TYP-016,The optional buyer field codebook directly supports this prefix family,TYP-016,BuyerOptionalFieldCode,buyerCostCenterId code,value_object,domain,rs,Prefix code used in buyerCostCenterId to determine optional buyer-purpose field semantics,official_technical,high,KB-016; KB-005,Value always precedes the payload after a colon
core_canonical,REC-TYP-017,Official APDU response definition is direct and complete,TYP-017,SecureElementVersionResponse,GetSecureElementVersion response,response_dto,secure_element,applet,Secure element version response containing major minor patch segments,official_spec,high,KB-006,Three unsigned integer version segments in 12 bytes
core_canonical,REC-TYP-018,Official APDU response definition is direct and complete,TYP-018,SecureElementCertParamsResponse,GetCertParams response,response_dto,secure_element,applet,UID and certificate validity timestamps returned by secure element,official_spec,high,KB-006,
core_canonical,REC-TYP-019,Official APDU structure and audit threshold guidance align on the same payload,TYP-019,AmountStatusResponse,Amount Status response,response_dto,secure_element,applet,Current signed amount and secure element limit payload,official_spec,high,KB-006,Current extraction captures the exact 7-byte sum and 7-byte limit split
core_canonical,REC-TYP-020,Official APDU structure is primary and reference samples provide version delta detail,TYP-020,SignInvoiceApduRequest,Sign Invoice command data,request_dto,secure_element,applet,Byte-level command payload sent to secure element for signing,official_spec,high,KB-006,Current extraction captures the canonical 7-byte amount layout and CRC variant
core_canonical,REC-TYP-021,Official Sign Invoice and Get Last Signed Invoice sections support the same response structure,TYP-021,SignInvoiceApduResponse,Sign Invoice response data,response_dto,secure_element,applet,Byte-level fiscalization payload returned by secure element after signing,official_spec,high,KB-006,Current extraction captures counters encrypted data signature and optional CRC
derived_layer,REC-TYP-022,Official evidence proves the APDU command but not a meaningful request body schema,TYP-022,LastSignedInvoiceRequest,Get Last Signed Invoice request,request_dto,secure_element,applet,Empty invocation marker for replaying the last signed invoice payload through the APDU command,official_spec,high,KB-006,No command data body is defined; keep only as a symmetry marker if useful
core_canonical,REC-TYP-023,Official APDU section explicitly reuses the Sign Invoice response structure,TYP-023,LastSignedInvoiceResponse,Get Last Signed Invoice response,response_dto,secure_element,applet,Last signed invoice data replay with same structure as Sign Invoice response,official_spec,high,KB-006,
core_canonical,REC-TYP-024,Official APDU contract directly supports an opaque directive payload type,TYP-024,ForwardSecureElementDirectiveRequest,Forward Secure Element Directive request,request_dto,secure_element,applet,Opaque directive payload received from TaxCore and forwarded to secure element,official_spec,high,KB-006,512 byte payload with optional CRC
core_canonical,REC-TYP-025,Official ModelError entry shape directly supports this type,TYP-025,ValidationErrorItem,ModelError,component_dto,lpfr_service,v3,Property-level validation error entry inside ValidationErrorResponse,official_spec,high,KB-006,Contains the property path and the associated shared status codes
