ContractId,CanonicalName,Layer,Purpose,Transport,EndpointOrInstruction,InputType,OutputType,ErrorSet,Preconditions,Postconditions,Authority,Confidence,SourceRefs,Notes
CTR-001,CreateInvoice,lpfr_service,Fiscalize invoice and return a fiscalized result,http,POST /api/v3/invoices,InvoiceRequest,InvoiceResult,GeneralStatusCodes; ValidationCodes,For E-SDC PIN and secure element availability may be required; For V-SDC client certificate and PAC are required,Invoice is fiscalized or a validation or operational error is returned,official_spec,high,KB-006; KB-007; REF-002,Reference V-SDC submitter confirms the same body contract with a connected-auth envelope built from client certificate plus PAC and optional Accept-Language and RequestId headers
CTR-002,GetStatus,lpfr_service,Read current SDC status,http,GET /api/v3/status,None,StatusResponse,GeneralStatusCodes,None,Current SDC state and capabilities are returned,official_spec,high,KB-006,Environment URLs must not be hardcoded
CTR-003,GetEnvironmentParameters,lpfr_service,Read environment metadata and service endpoints,http,GET /api/v3/environment-parameters,None,EnvironmentParametersResponse,GeneralStatusCodes,None,Environment metadata and endpoints are returned,official_spec,high,KB-006,Environment URLs must not be hardcoded
CTR-004,VerifyPin,lpfr_service,Verify cashier PIN against the secure element,http_plaintext_body,POST /api/v3/pin,PinPlainText,GeneralStatusCodeText,GeneralStatusCodes,Card must be present and E-SDC reachable,PIN is accepted and cached in RAM or a general error code is returned,official_spec,high,KB-006,Request body is plain text PIN and response body is plain text status code
CTR-005,Attention,lpfr_service,Probe E-SDC availability before sensitive operations,http,GET /api/v3/attention,None,None,http_200_only,None,HTTP 200 confirms availability for the next command,official_spec,high,KB-006,Used prior to VerifyPin or CreateInvoice to reduce communication errors
CTR-006,GetLastSignedInvoiceApdu,secure_element,Read the last signed invoice payload directly from the secure element,apdu,CLA 0x88 INS 0x15,LastSignedInvoiceRequest,LastSignedInvoiceResponse,SecureElementStatusWords,SE applet version must support the command and CRC mode must match the applet version,Last signed invoice payload is returned from the secure element,official_spec,high,KB-006; REF-005,Distinct from the HTTP recovery contract; the response reuses the SignInvoiceApduResponse byte layout
CTR-007,SelectSEApplet,secure_element,Select the Secure Element applet before subsequent SE APDU commands,apdu,00A4040010A000000748464A492D546178436F726500,None,None,SecureElementStatusWords,Smart card must be inserted,Subsequent APDU commands are routed to SE applet,official_spec,high,KB-006; REF-005,Reference implementation confirms the same AID
CTR-008,GetSecureElementVersion,secure_element,Read secure element API version,apdu,CLA 0x88 INS 0x08,None,SecureElementVersionResponse,SecureElementStatusWords,SE applet selected or command routed to SE applet,Version payload is returned,official_spec,high,KB-006,Response is 12 bytes major minor patch
CTR-009,ForwardSecureElementDirective,secure_element,Forward TaxCore directive payload to secure element,apdu,CLA 0x88 INS 0x40,ForwardSecureElementDirectiveRequest,None,SecureElementStatusWords,SE version and CRC mode must match payload,Directive is forwarded to secure element,official_spec,high,KB-006; REF-005,Reference implementation exposes SECommand primitive
CTR-010,GetCertParams,secure_element,Read UID and certificate validity window from secure element,apdu,CLA 0x88 INS 0x33,None,SecureElementCertParamsResponse,SecureElementStatusWords,SE version must be 3.2.8 or higher,UID NotBefore and NotAfter are returned,official_spec,high,KB-006,
CTR-011,SignInvoiceApdu,secure_element,Sign invoice payload and return fiscalization data,apdu,CLA 0x88 INS 0x13,SignInvoiceApduRequest,SignInvoiceApduResponse,SecureElementStatusWords,PIN verification and valid timestamp may be required,Signed fiscalization payload is returned,official_spec,high,KB-006,CRC support depends on SE version
CTR-012,AmountStatusApdu,secure_element,Read current signed amount and secure element limit,apdu,CLA 0x88 INS 0x14,None,AmountStatusResponse,SecureElementStatusWords,SE applet selected or command routed to SE applet,Current amount and limit are returned,official_spec,high,KB-006; REF-005,
CTR-013,SelectPKIApplet,smart_card,Select the PKI applet on the smart card,apdu,CLA 0x00 INS 0xA4,None,None,SmartCardStatusWords,Smart card must be inserted and the AID must match the smart card secure element version,Subsequent PKI commands are routed to PKI applet,official_spec,high,KB-006; REF-005,Use A000000397425446590201 for versions below 3.1.1 and A000000397425446590009 for versions 3.1.1 and above; REF-005 currently uses the legacy AID
CTR-014,GetInvoiceVerificationJson,public_verification,Read machine-readable receipt verification data from the public verification URL,http,GET <invoice_verification_url> with Accept: application/json,None,InvoiceVerificationResponse,None,None,Receipt verification payload is returned without authentication,official_guidance,high,KB-013,Same verification URL can serve browser mode and JSON mode
CTR-015,ExportCertificateApdu,secure_element,Export the taxpayer certificate from the secure element in DER format,apdu,CLA 0x88 INS 0x04,None,ExportedCertificateDer,SecureElementStatusWords,SE applet selected,Raw certificate bytes are returned and may be parsed into UID TIN and location metadata,official_spec,high,KB-006; REF-006,Official APDU contract; legacy reference naming is GetSECert
CTR-016,ExportPkiCertificate,smart_card,Export the PKI certificate from the PKI applet,apdu,CLA 0x00 INS 0xCB P1 0x3F P2 0xFF,None,None,SmartCardStatusWords,PKI applet selected,Compressed TLV wrapped certificate bytes are returned and can be decompressed and parsed,reference_impl,medium,REF-005; REF-006,Reference reader inflates the payload before certificate parsing
CTR-017,ExportAuditDataApdu,audit,Export encrypted audit data from the secure element,apdu,CLA 0x88 INS 0x12,None,ExportedAuditData,SecureElementStatusWords,SE applet selected and CRC mode must match the applet version,Encrypted audit data bytes are returned for local or remote audit workflows,official_spec,high,KB-006; REF-005,Official contract superseding the older ExportInternalData naming used in reference code
CTR-018,EndAuditApdu,audit,Finalize the audit process in the secure element using Proof of Audit bytes,apdu,CLA 0x88 INS 0x20,ProofOfAudit,None,SecureElementStatusWords,SE applet selected and proof-of-audit payload prepared,Audit session is finalized or an APDU error is returned,official_spec,high,KB-006; REF-005,Official contract name is End Audit; FinishAudit remains a reference alias
CTR-019,GetLastSignedInvoiceHttp,lpfr_service,Recover the last invoice result by request identifier after transport failure,http,GET /api/v3/invoices/{requestId},RequestId,InvoiceResult,GeneralStatusCodes,Original requestId must be known from a previous CreateInvoice attempt,Latest matching invoice result or null is returned,official_spec,high,KB-006,This is the HTTP recovery contract and is distinct from the secure-element APDU replay command
CTR-020,GetPinTriesLeftFromSEApplet,secure_element,Read remaining secure-element PIN attempts before lockout,apdu,CLA 0x88 INS 0x16,None,PinTriesLeft,SecureElementStatusWords,SE applet version must be 3.1.1 or higher and the SE applet must be selected,Remaining tries count is returned as a one-byte payload,official_spec,high,KB-006,Auxiliary SE contract discovered during reconciliation; 00 indicates blocked state
CTR-021,ExportTaxCorePublicKeyApdu,audit,Export the TaxCore public key used to encrypt audit packages,apdu,CLA 0x88 INS 0x07,None,TaxCorePublicKey,SecureElementStatusWords,SE applet selected,Public-key bytes are returned for audit-package encryption,official_spec,high,KB-006,Returns a 259-byte structure containing modulus and exponent
CTR-022,StartAuditApdu,audit,Notify the secure element that an audit session has started and obtain an audit request payload,apdu,CLA 0x88 INS 0x21,None,AuditRequestPayload,SecureElementStatusWords,SE applet selected and CRC mode must match the applet version,Encrypted auditRequestPayload bytes are returned for submission to TaxCore,official_spec,high,KB-006,Returns 260 bytes without CRC or 264 bytes with CRC depending on the applet mode
CTR-023,Configuration,taxcore_api_shared,Read public TaxCore environment configuration,http,GET /api/v3/configuration,None,TaxCoreConfigurationResponse,None,None,Shared backend configuration is returned without authentication,official_spec,high,KB-006,The same information can also be obtained from an SDC device and the spec marks that path as preferred when available
CTR-024,TaxRates,taxcore_api_shared,Read public TaxCore tax-rate catalog,http,GET /api/v3/tax-rates,None,TaxRatesResponse,None,None,Current and historical tax-rate groups are returned without authentication,official_spec,high,KB-006,The same information can also be obtained from an SDC device and the spec marks that path as preferred when available
CTR-025,Environments,taxcore_api_shared,List public TaxCore environments,http,GET /api/v3/environments,None,EnvironmentDescriptorList,None,None,Available environment entries are returned without authentication,official_spec,high,KB-006,Canonical output wrapper over the top-level array of environment descriptors
CTR-026,EncryptionCertificate,taxcore_api_shared,Read the public TaxCore encryption certificate,http,GET /api/v3/encryption-certificate,None,EncryptionCertificateBase64,None,None,Base64 encoded raw X509 certificate is returned without authentication,official_spec,high,KB-006,Transport response is a JSON string rather than an object
CTR-027,RequestAuthenticationToken,taxcore_api_esdc,Request an authentication token for subsequent E-SDC backend calls,http,GET /api/v3/sdc/token,None,AuthenticationTokenResponse,None,Valid client certificate from the PKI applet must be presented over TLS,Authentication token and expiration timestamp are returned,official_spec,high,KB-006,Certificate-based authentication is used only for requesting a token
CTR-028,GetInitializationCommands,taxcore_api_esdc,Pull initialization commands for an E-SDC from TaxCore,http,GET /api/v3/sdc/commands,None,CommandList,None,Valid TaxCoreAuthenticationToken header must be supplied,Array of commands to execute is returned and may be empty,official_spec,high,KB-006,Canonical output wrapper over the top-level array of commands; typical initialization commands include tax rates verification URL time-server URL and TaxCore configuration
CTR-029,NotifyOnlineStatus,taxcore_api_esdc,Report E-SDC online or offline status and optionally receive commands,http,PUT /api/v3/sdc/status,TaxCoreBooleanFlagBody,CommandList,None,Valid TaxCoreAuthenticationToken header must be supplied,Online-status acknowledgement is accepted and command array may be returned,official_spec,high,KB-006,Commands are returned only when the submitted body indicates true
