UnitId,ModuleName,ImplementationBucket,PrimaryArtifacts,PrimaryRows,CatalogLayer,ImplementationPriority,Notes
IU-001,Core.Domain.ReceiptTaxonomy,stable_domain,"finalized_enums.csv; finalized_rules.csv","RSReceiptKind; RSFiscalDocumentKind; RSTransactionKind; RSPaymentMethod; core receipt/payment rules",core_canonical,high,Legal Serbian receipt and payment taxonomy should stay independent from transport DTOs
IU-002,Core.Domain.BuyerProfile,stable_domain,"finalized_types.csv; finalized_enums.csv; finalized_rules.csv","BuyerIdentification; BuyerIdentificationCode; BuyerOptionalFieldCode; RSBuyerIdentificationCode; RSBuyerOptionalFieldCode; buyer baseline rules",core_canonical,high,This is one of the most stable and regulation-driven parts of the model
IU-003,Core.Domain.CrossLayerIds,stable_domain,"finalized_types.csv; finalized_rules.csv","Uid; PacCode; PfxCertificatePassword; ManufacturerRegistrationCode; VerificationUrl; RequestId",core_canonical,high,Cross-layer identifiers should be modeled once and reused by transport and adapters
IU-004,Core.Domain.SecurityElementLegalModel,stable_domain,"finalized_types.csv; finalized_enums.csv; finalized_rules.csv","SecurityElementFormFactor; SecurityElementCounterFamily; BE lifecycle and binding rules",core_canonical,high,Normative BE rules should not be buried inside adapter code
IU-005,Contracts.Lpfr.V3.InvoiceFlow,versioned_lpfr_http_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","CreateInvoice; InvoiceRequest; PaymentItem; InvoiceItem; InvoiceOptions; InvoiceResult; TaxItem",core_canonical,high,Main fiscalization HTTP surface
IU-006,Contracts.Lpfr.V3.StatusAndBootstrap,versioned_lpfr_http_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","GetStatus; GetEnvironmentParameters; Attention; StatusResponse; EnvironmentParametersResponse; EnvironmentEndpoints",core_canonical,high,Status and bootstrap should remain versioned transport contracts
IU-007,Contracts.Lpfr.V3.ValidationAndPin,versioned_lpfr_http_dto,"finalized_contracts.csv; finalized_types.csv; finalized_errors_statuses.csv","VerifyPin; PinPlainText; GeneralStatusCodeText; ValidationErrorResponse; ValidationErrorItem; GENERAL_STATUS_CODE",core_canonical,high,Keep text/plain and structured validation concerns explicit
IU-008,Contracts.SecurityElement.Signing,versioned_se_apdu_dto,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","SelectSEApplet; GetSecureElementVersion; GetCertParams; SignInvoiceApdu; AmountStatusApdu; GetLastSignedInvoiceApdu; related APDU DTOs",core_canonical,high,SE byte layouts and version gates belong in a dedicated contract layer
IU-009,Contracts.SecurityElement.Audit,versioned_se_apdu_dto,"finalized_contracts.csv; finalized_types.csv","ExportCertificateApdu; ExportAuditDataApdu; EndAuditApdu; GetPinTriesLeftFromSEApplet; ExportTaxCorePublicKeyApdu; StartAuditApdu; ProofOfAudit; ExportedAuditData; AuditRequestPayload",core_canonical,high,Audit and export flows should be isolated from the invoice HTTP layer
IU-010,Contracts.PublicVerification,optional_guidance_contract,"finalized_contracts.csv; finalized_types.csv; finalized_fields.csv","GetInvoiceVerificationJson; InvoiceVerificationResponse; VerifiedInvoiceRequestView; VerifiedPaymentItem; VerifiedInvoiceResultView",guidance_canonical,medium,Useful optional package and should not be mixed into the LPFR core namespace
