CatalogLayer,LayerBasis,LayerNotes,RuleId,AppliesTo,RuleType,RuleText,Severity,TriggerContext,ExpectedError,Authority,Confidence,SourceRefs,Notes
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-001,LPFR availability,operational,If the smart card is removed the LPFR must stop issuing invoices,error,During active LPFR operation,Service must not fiscalize new invoice,official_manual_test,high,KB-007,Seeded from L-PFR manual testing document
reference_only,transform_resolution,Transport-normalization note aligned with REC-ERR-001 and kept outside the primary canonical contract layer,RUL-002,LPFR error transport,transport,Status and error codes may be returned as plain text while some ESIR implementations expect JSON,warning,LPFR to ESIR integration,Mismatch must be handled or normalized,official_manual_test,medium,KB-007,Important reconciliation item
guidance_canonical,transform_resolution,Manual-test validation-priority behavior kept as an approval-facing integration rule,RUL-003,Error priority,validation,ESIR expects errors sorted by priority so the user can remove them successfully,error,Validation failures,Prioritized error list,official_manual_test,high,KB-007,Important for client-side error model
guidance_canonical,REC-RUL-014,The technical instruction and approval manuals strongly support this as an approval-sensitive design constraint,RUL-004,Approval change control,process,Changes that alter functionality or receipt appearance require a new technical review and approval,error,Approved product change,Reapproval workflow,official_technical,high,KB-005,Meta rule but important for versioning and traceability
guidance_canonical,transform_resolution,Canonical naming reconciliation rule retained for terminology stability,RUL-005,Buyer ID naming,domain,The source materials changed buyer identification naming from PIB kupca to ID kupca,warning,Source reconciliation,Canonical buyer identification model,official_technical,high,KB-005,Important naming reconciliation rule
core_canonical,REC-RUL-003,Legal classification is normative while the font-emphasis detail is sharpened by technical and manual-test material,RUL-006,Receipt categories,domain,Only promet and avans are fiscal receipts while copy training and proforma are fiscal documents,error,Receipt rendering and legal interpretation,Documents must be distinguished from fiscal receipts,normative,high,KB-003,Foundational Serbian legal distinction
core_canonical,REC-RUL-003,Legal classification is normative while the font-emphasis detail is sharpened by technical and manual-test material,RUL-007,Non fiscal document rendering,rendering,Copy training and proforma documents must visibly contain KOPIJA OBUKA or PREDRACUN and OVO NIJE FISKALNI RACUN,error,Printed or digital document rendering,Document must be visually distinguished,normative,high,KB-003,Required font size rule still needs extraction detail
core_canonical,transform_resolution,Normative refund-or-cancellation semantic retained as core domain meaning,RUL-008,Refund semantics,domain,Serbian refund transaction bucket includes refund and cancellation or void,error,Receipt type and business logic,Canonical mapping to Refund path,normative,high,KB-003,TaxCoreTransactionType Refund covers both
core_canonical,REC-RUL-006,Rulebook and FAQ material consistently support the payment-label set and mixed-payment allocation requirement,RUL-009,Multiple payments,validation,A fiscal receipt may show more than one payment method and must show allocated amounts per method,error,Receipt paid with multiple instruments,Allocated payment amounts must be present,normative,high,KB-003,
core_canonical,REC-RUL-006,Rulebook and FAQ material consistently support the payment-label set and mixed-payment allocation requirement,RUL-010,Payment option restriction Serbia,validation,For on site food and drink service and bakery flows only a restricted payment option set may be offered,error,Specific Serbia retail contexts,Card check and instant may collapse under cash display option,normative,high,KB-003,Important Serbia specific UI rule
core_canonical,REC-RUL-004,Normative and technical sources align that QR and hyperlink are two renderings of the same verification path,RUL-011,Printed versus electronic verification,rendering,Printed fiscal receipt must contain QR code while electronic fiscal receipt must contain verification hyperlink,error,Receipt issuance channel,Verification data must be present in the correct form,normative,high,KB-003,
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-012,Reference time dependency,validation,referentDocumentDT may be used only when referentDocumentNumber is also present,error,Create Invoice request validation,Invalid reference combination should fail,official_spec,high,KB-006,
core_canonical,transform_resolution,Official Accept-Language journal-selection rule retained as protocol truth,RUL-013,Journal language selection,protocol,Accept-Language header selects invoice journal language and unsupported languages return HTTP 406,error,Create Invoice request processing,406 if none of the requested languages are supported,official_spec,high,KB-006,
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-014,Verify PIN format,validation,VerifyPin request body must contain exactly four ASCII digits,error,VerifyPin invocation,2806 or 2100 or 2110 depending failure mode,official_spec,high,KB-006; KB-010,
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-015,Verify PIN caching,operational,If VerifyPin returns 0100 E-SDC remembers the PIN in volatile memory until card removal or device shutdown,warning,Regular E-SDC operation,PIN need not be sent before every operation,official_spec,high,KB-006; KB-010,
guidance_canonical,transform_resolution,Operational configuration advice retained as guidance rather than hard protocol shape,RUL-016,Configuration source,operational,Environment URLs and names should not be hardcoded but configurable or extracted from certificate,warning,Environment setup and deployment,Use environment parameters or certificate metadata,official_spec,high,KB-006; KB-009,
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-017,Reference number mandatory cases,validation,referentDocumentNumber is mandatory for copies and refunds and some normal sale or advance scenarios,error,Create Invoice request validation,Invalid reference combination should fail,official_spec,high,KB-006; KB-003,
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-018,Buyer ID codebook format,validation,In Serbian buyer identification flows buyerId must be entered using codebook prefix and payload in the form code:value,error,Invoice with buyer identification,Invalid or unknown buyer identification value,official_technical,high,KB-016; KB-005,
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-019,Buyer optional field format,validation,In Serbian buyer identification flows buyerCostCenterId uses codebook prefix and payload in the form code:value,warning,Invoice with buyer optional field,Invalid or unknown optional buyer field value,official_technical,high,KB-016; KB-005,
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-020,Buyer ID receipt display,rendering,When buyer identification is used the receipt must display ID kupca and may display Opciono polje kupca if needed,error,Receipt with buyer identification,Rendered receipt must contain buyer identification fields,official_technical,high,KB-005,
guidance_canonical,transform_resolution,Baseline corporate-card sale rule retained after REC-RUL-011 split,RUL-021,Corporate card sale rule,domain,For corporate card retail sales the system records buyer identification and optional field 50 for card number and payment method is always Voucher,error,Corporate card sale flow,Receipt must be sale with voucher payment and buyer optional field 50,official_technical,high,KB-005; KB-016,
guidance_canonical,transform_resolution,Baseline corporate-card aggregate refund rule retained after REC-RUL-011 split,RUL-022,Corporate card aggregate refund rule,domain,For aggregate refund of previously invoiced corporate card sales optional field 60 must carry a calendar-month date range and referentDocumentNumber plus referentDocumentDT must point to the last invoice in that period,error,Corporate card aggregate refund flow,Receipt must be refund with field 60 and valid reference,official_technical,high,KB-005; KB-016,
guidance_canonical,transform_resolution,Baseline refund-buyer-identification rule retained after REC-RUL-011 split,RUL-023,Refund buyer identification baseline rule,domain,For documented refund flows that return money directly to the buyer and are not the special noncash refund guidance branch the baseline is to enter buyer identification and a reference to the original sale or advance invoice,error,Refund to customer flow,Refund receipt is invalid without buyer identification and reference in the documented baseline scenario,official_technical,high,KB-005; KB-017,Second-pass baseline rule; keep the lower-authority noncash refund nuance separate in RUL-091 and RUL-094
guidance_canonical,transform_resolution,Baseline immediate-correction buyer-ID rule retained after REC-RUL-011 split,RUL-024,Immediate correction rule,domain,If an invoice with buyer identification is not cancelled immediately after the transaction a new invoice with buyer identification must not be generated as a correction,error,Post-transaction correction with buyer ID,Subsequent invoice would be considered invalid,official_technical,medium,KB-005,Extracted from explanatory text before section 9.4
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-025,SE applet selection,protocol,Secure element APDU commands require selecting the SE applet first,error,Secure element command execution,Subsequent commands are routed to SE applet only after Select SE Applet,official_spec,high,KB-006; REF-005,
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-026,SE CRC version gate,protocol,From secure element version 3.2.5 some commands support optional CRC and change P1 P2 accordingly,warning,SignInvoice and GetLastSignedInvoice and forwarded directive flows,Command framing must match SE version,official_spec,high,KB-006,
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-027,SE certificate validity rule,validation,From secure element version 3.2.8 invoice timestamp used for Sign Invoice must be within certificate NotBefore and NotAfter,error,SignInvoice APDU,SE returns 0x6308 when timestamp is outside certificate validity,official_spec,high,KB-006,
core_canonical,transform_resolution,Version-gated SE command availability is part of the canonical APDU integration model,RUL-028,SE version-dependent availability,protocol,Availability and exact content of secure element commands depends on applet version,warning,Any APDU integration,Capability detection should rely on Get Secure Element Version and command version gates,official_spec,high,KB-006,
core_canonical,transform_resolution,Official mapping from Verify PIN APDU results to general status codes is core integration truth,RUL-029,Verify PIN to POS mapping,protocol,Secure element Verify PIN status words map to general E-SDC codes 2100 and 2110,error,VerifyPin service integration,POS must receive mapped general status code not raw APDU word,official_spec,high,KB-006,
core_canonical,transform_resolution,Current SignInvoice byte layout is part of the canonical byte-level contract,RUL-030,Current SignInvoice byte layout,protocol,Current SignInvoice APDU layout uses 7-byte amount fields and places tax category count at byte 57,error,Current SE integration,Payload offsets must follow current spec,official_spec,high,KB-006,
derived_layer,transform_resolution,Legacy sample mismatch remains a reconciliation note rather than current protocol truth,RUL-031,Legacy sample layout mismatch,protocol,Older SESignInvoice sample uses 8-byte amount fields and therefore shifted offsets while V3 sample and current documentation use the 7-byte layout,warning,Reconciling reference implementations,Canonical catalog follows current documentation and V3 sample,reference_impl_seed,high,REF-003; REF-004; KB-006,
core_canonical,transform_resolution,Shared LastSignedInvoice response layout is part of the canonical APDU response model,RUL-032,LastSignedInvoice replay layout,protocol,Get Last Signed Invoice returns the same data structure as Sign Invoice response,warning,Replay or recovery flow,Parser for LastSignedInvoiceResponse should reuse SignInvoiceApduResponse layout,official_spec,high,KB-006,
derived_layer,REC-RUL-007,The crosswalk is useful and well supported but it is still a reconciliation layer between Serbian display labels and the generic protocol enum,RUL-033,Payment type crosswalk,reconciliation,For Serbian integrations the strongly supported crosswalk is Gotovina to Cash Platna kartica to Card Ček to Check Prenos na račun to WireTransfer Vaučer to Voucher Drugo bezgotovinsko plaćanje to Other and Instant plaćanje to MobileMoney,warning,Mapping legal display values to protocol enum values,Keep legal and protocol enums separate but use this crosswalk when serializing PaymentItem.paymentType,derived_from_official_plus_reference,high,KB-005; KB-006; REF-001,Second-pass derived serialization rule and not a canonical enum source; inferred from official generic PaymentType lists plus the Serbian localization of the reference app
core_canonical,transform_resolution,PKI applet AID version gate is part of the canonical smart-card integration model,RUL-034,PKI applet AID version gate,protocol,SelectPKIApplet uses AID A000000397425446590201 for smart card secure element versions below 3.1.1 and A000000397425446590009 for versions 3.1.1 and above,error,Smart card PKI applet selection,Wrong AID selection will fail PKI command routing,official_spec,high,KB-006,Reference implementation currently uses the legacy 0201 AID only
