CatalogLayer,LayerBasis,LayerNotes,ContractId,CanonicalName,Layer,Purpose,Transport,EndpointOrInstruction,InputType,OutputType,ErrorSet,Preconditions,Postconditions,Authority,Confidence,SourceRefs,Notes
core_canonical,REC-CTR-001,Direct official contract support now exists and reference V-SDC envelope stays supplemental,CTR-001,CreateInvoice,lpfr_service,Fiscalize invoice and return a fiscalized result,http,POST /api/v3/invoices,InvoiceRequest,InvoiceResult,GeneralStatusCodes; ValidationCodes,For E-SDC PIN and secure element availability may be required; For V-SDC client certificate and PAC are required,Invoice is fiscalized or a validation or operational error is returned,official_spec,high,KB-006; KB-007; REF-002,Reference V-SDC submitter confirms the same body contract with a connected-auth envelope built from client certificate plus PAC and optional Accept-Language and RequestId headers
core_canonical,REC-CTR-002,Official service contract and manual endpoint behavior align cleanly,CTR-002,GetStatus,lpfr_service,Read current SDC status,http,GET /api/v3/status,None,StatusResponse,GeneralStatusCodes,None,Current SDC state and capabilities are returned,official_spec,high,KB-006,Environment URLs must not be hardcoded
core_canonical,REC-CTR-003,Official service contract now has direct evidence and manual no-card behavior support,CTR-003,GetEnvironmentParameters,lpfr_service,Read environment metadata and service endpoints,http,GET /api/v3/environment-parameters,None,EnvironmentParametersResponse,GeneralStatusCodes,None,Environment metadata and endpoints are returned,official_spec,high,KB-006,Environment URLs must not be hardcoded
core_canonical,REC-CTR-004,Transport shape and validator/status set are explicitly documented,CTR-004,VerifyPin,lpfr_service,Verify cashier PIN against the secure element,http_plaintext_body,POST /api/v3/pin,PinPlainText,GeneralStatusCodeText,GeneralStatusCodes,Card must be present and E-SDC reachable,PIN is accepted and cached in RAM or a general error code is returned,official_spec,high,KB-006,Request body is plain text PIN and response body is plain text status code
core_canonical,REC-CTR-005,Direct official E-SDC availability probe contract added during reconciliation,CTR-005,Attention,lpfr_service,Probe E-SDC availability before sensitive operations,http,GET /api/v3/attention,None,None,http_200_only,None,HTTP 200 confirms availability for the next command,official_spec,high,KB-006,Used prior to VerifyPin or CreateInvoice to reduce communication errors
core_canonical,transform_resolution,Resolved REC-CTR-006 split; current row is the secure-element APDU contract,CTR-006,GetLastSignedInvoiceApdu,secure_element,Read the last signed invoice payload directly from the secure element,apdu,CLA 0x88 INS 0x15,LastSignedInvoiceRequest,LastSignedInvoiceResponse,SecureElementStatusWords,SE applet version must support the command and CRC mode must match the applet version,Last signed invoice payload is returned from the secure element,official_spec,high,KB-006; REF-005,Distinct from the HTTP recovery contract; the response reuses the SignInvoiceApduResponse byte layout
core_canonical,REC-CTR-007,Official APDU definition and reference sample agree on the AID and usage,CTR-007,SelectSEApplet,secure_element,Select the Secure Element applet before subsequent SE APDU commands,apdu,00A4040010A000000748464A492D546178436F726500,None,None,SecureElementStatusWords,Smart card must be inserted,Subsequent APDU commands are routed to SE applet,official_spec,high,KB-006; REF-005,Reference implementation confirms the same AID
core_canonical,REC-CTR-008,Direct official APDU version contract exists,CTR-008,GetSecureElementVersion,secure_element,Read secure element API version,apdu,CLA 0x88 INS 0x08,None,SecureElementVersionResponse,SecureElementStatusWords,SE applet selected or command routed to SE applet,Version payload is returned,official_spec,high,KB-006,Response is 12 bytes major minor patch
core_canonical,REC-CTR-009,Official APDU directive contract is primary and reference SECommand remains corroborating implementation evidence,CTR-009,ForwardSecureElementDirective,secure_element,Forward TaxCore directive payload to secure element,apdu,CLA 0x88 INS 0x40,ForwardSecureElementDirectiveRequest,None,SecureElementStatusWords,SE version and CRC mode must match payload,Directive is forwarded to secure element,official_spec,high,KB-006; REF-005,Reference implementation exposes SECommand primitive
core_canonical,REC-CTR-010,Direct official APDU certificate-parameter contract exists,CTR-010,GetCertParams,secure_element,Read UID and certificate validity window from secure element,apdu,CLA 0x88 INS 0x33,None,SecureElementCertParamsResponse,SecureElementStatusWords,SE version must be 3.2.8 or higher,UID NotBefore and NotAfter are returned,official_spec,high,KB-006,
