CatalogLayer,LayerBasis,LayerNotes,EnumId,CanonicalName,Value,SourceValue,Label,Meaning,AppliesTo,Deprecated,Authority,Confidence,SourceRefs,Notes
core_canonical,REC-ENUM-001,Rulebook and technical guide both support the Serbian legal receipt-kind pair Promet and Avans,ENUM-001,RSReceiptKind,promet,promet,Promet,Fiscal receipt for retail sale,Receipt rendering and legal domain,no,normative,high,KB-003,Usually maps to TaxCoreInvoiceType Normal
core_canonical,REC-ENUM-001,Rulebook and technical guide both support the Serbian legal receipt-kind pair Promet and Avans,ENUM-002,RSReceiptKind,avans,avans,Avans,Fiscal receipt for received advance,Receipt rendering and legal domain,no,normative,high,KB-003,Usually maps to TaxCoreInvoiceType Advance
core_canonical,REC-ENUM-002,Rulebook and technical guide both support the non-fiscal document family Copy Training and Proforma,ENUM-003,RSFiscalDocumentKind,kopija_racuna,kopija računa,Kopija,Copy document that is not a fiscal receipt,Receipt rendering and legal domain,no,normative,high,KB-003,Must be visually distinguished
core_canonical,REC-ENUM-002,Rulebook and technical guide both support the non-fiscal document family Copy Training and Proforma,ENUM-004,RSFiscalDocumentKind,racun_obuke,račun obuke,Obuka,Training document that is not a fiscal receipt,Receipt rendering and legal domain,no,normative,high,KB-003,Must be visually distinguished
core_canonical,REC-ENUM-002,Rulebook and technical guide both support the non-fiscal document family Copy Training and Proforma,ENUM-005,RSFiscalDocumentKind,predracun,predračun,Predračun,Proforma document that is not a fiscal receipt,Receipt rendering and legal domain,no,normative,high,KB-003,Must be visually distinguished
core_canonical,REC-ENUM-003,Rulebook defines the sale vs refund or cancellation legal family and the guide repeats it,ENUM-006,RSTransactionKind,prodaja,prodaja,Prodaja,Sale transaction under Serbian rulebook,Receipt rendering and legal domain,no,normative,high,KB-003,Maps to TaxCoreTransactionType Sale
core_canonical,REC-ENUM-003,Rulebook defines the sale vs refund or cancellation legal family and the guide repeats it,ENUM-007,RSTransactionKind,refundacija_ponistavanje,refundacija odnosno poništavanje računa,Refundacija odnosno poništavanje,Refund and cancellation bucket under Serbian rulebook,Receipt rendering and legal domain,no,normative,high,KB-003,TaxCore spec uses Refund
core_canonical,REC-ENUM-004,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior,ENUM-008,RSPaymentMethod,gotovina,gotovina,Gotovina,Cash payment method in Serbian rulebook,Receipt rendering and legal domain,no,normative,high,KB-003; KB-005,Maps to TaxCorePaymentType Cash and may also be used as a fallback entry label when card check and instant are disabled in specific Serbia contexts
core_canonical,REC-ENUM-004,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior,ENUM-009,RSPaymentMethod,instant_placanje,instant plaćanje,Instant plaćanje,Instant payment at point of sale,Receipt rendering and legal domain,no,normative,high,KB-003; KB-005; REF-001,Strongly supported crosswalk to TaxCorePaymentType MobileMoney based on KB-005 generic PaymentType list and REF-001 Serbian localization
core_canonical,REC-ENUM-004,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior,ENUM-010,RSPaymentMethod,platna_kartica,platna kartica,Platna kartica,Card payment,Receipt rendering and legal domain,no,normative,high,KB-003; KB-005,Maps to TaxCorePaymentType Card
core_canonical,REC-ENUM-004,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior,ENUM-011,RSPaymentMethod,cek,ček,Ček,Check payment,Receipt rendering and legal domain,no,normative,high,KB-003; KB-005,Maps to TaxCorePaymentType Check
core_canonical,REC-ENUM-004,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior,ENUM-012,RSPaymentMethod,prenos_na_racun,prenos na račun,Prenos na račun,Wire transfer or account transfer,Receipt rendering and legal domain,no,normative,high,KB-003; KB-005; REF-001,Maps to TaxCorePaymentType WireTransfer
core_canonical,REC-ENUM-004,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior,ENUM-013,RSPaymentMethod,vaucer,vačer,Vaučer,Voucher and similar instruments,Receipt rendering and legal domain,no,normative,high,KB-003; KB-005; REF-001,OCR may vary between vaucer and vačer and the protocol crosswalk is TaxCorePaymentType Voucher
core_canonical,REC-ENUM-004,Rulebook and guidance support the seven Serbian payment labels and mixed-payment behavior,ENUM-014,RSPaymentMethod,drugo_bezgotovinsko_placanje,drugo bezgotovinsko plaćanje,Drugo bezgotovinsko plaćanje,Other allowed non cash payment,Receipt rendering and legal domain,no,normative,high,KB-003; KB-005; REF-001,Strongly supported crosswalk to TaxCorePaymentType Other based on KB-005 generic PaymentType list and REF-001 Serbian localization
core_canonical,REC-ENUM-005,Official CreateInvoice model and SignInvoice APDU field semantics support the five protocol invoice-type values,ENUM-015,TaxCoreInvoiceType,0,Normal,Normal,Standard sale or refund invoice type in the generic TaxCore contract,InvoiceRequest.invoiceType,no,official_spec,high,KB-006,
core_canonical,REC-ENUM-005,Official CreateInvoice model and SignInvoice APDU field semantics support the five protocol invoice-type values,ENUM-016,TaxCoreInvoiceType,1,ProForma,ProForma,Proforma invoice type in the generic TaxCore contract,InvoiceRequest.invoiceType,no,official_spec,high,KB-006,Examples also show Proforma casing
core_canonical,REC-ENUM-005,Official CreateInvoice model and SignInvoice APDU field semantics support the five protocol invoice-type values,ENUM-017,TaxCoreInvoiceType,2,Copy,Copy,Copy invoice type in the generic TaxCore contract,InvoiceRequest.invoiceType,no,official_spec,high,KB-006,
core_canonical,REC-ENUM-005,Official CreateInvoice model and SignInvoice APDU field semantics support the five protocol invoice-type values,ENUM-018,TaxCoreInvoiceType,3,Training,Training,Training invoice type in the generic TaxCore contract,InvoiceRequest.invoiceType,no,official_spec,high,KB-006,
core_canonical,REC-ENUM-005,Official CreateInvoice model and SignInvoice APDU field semantics support the five protocol invoice-type values,ENUM-019,TaxCoreInvoiceType,4,Advance,Advance,Advance invoice type in the generic TaxCore contract,InvoiceRequest.invoiceType,no,official_spec,high,KB-006,
core_canonical,REC-ENUM-006,Official CreateInvoice model and SignInvoice APDU field semantics support the Sale and Refund protocol values,ENUM-020,TaxCoreTransactionType,0,Sale,Sale,Sale transaction type in the generic TaxCore contract,InvoiceRequest.transactionType,no,official_spec,high,KB-006,
core_canonical,REC-ENUM-006,Official CreateInvoice model and SignInvoice APDU field semantics support the Sale and Refund protocol values,ENUM-021,TaxCoreTransactionType,1,Refund,Refund,Refund transaction type in the generic TaxCore contract,InvoiceRequest.transactionType,no,official_spec,high,KB-006,Serbian rulebook folds cancellation into this bucket
core_canonical,REC-ENUM-007,Official numeric mapping is explicit and Serbian materials help only with the crosswalk,ENUM-022,TaxCorePaymentType,0,Other,Other,Other payment type in the generic TaxCore contract,PaymentItem.paymentType,no,official_spec,high,KB-006; KB-005; REF-001,Serbian reference localization renders this as Drugo bezgotovinsko plaćanje
core_canonical,REC-ENUM-007,Official numeric mapping is explicit and Serbian materials help only with the crosswalk,ENUM-023,TaxCorePaymentType,1,Cash,Cash,Cash payment type in the generic TaxCore contract,PaymentItem.paymentType,no,official_spec,high,KB-006; KB-005,Serbian legal label is Gotovina
core_canonical,REC-ENUM-007,Official numeric mapping is explicit and Serbian materials help only with the crosswalk,ENUM-024,TaxCorePaymentType,2,Card,Card,Card payment type in the generic TaxCore contract,PaymentItem.paymentType,no,official_spec,high,KB-006; KB-005,Serbian legal label is Platna kartica
core_canonical,REC-ENUM-007,Official numeric mapping is explicit and Serbian materials help only with the crosswalk,ENUM-025,TaxCorePaymentType,3,Check,Check,Check payment type in the generic TaxCore contract,PaymentItem.paymentType,no,official_spec,high,KB-006; KB-005,Serbian legal label is Ček
core_canonical,REC-ENUM-007,Official numeric mapping is explicit and Serbian materials help only with the crosswalk,ENUM-026,TaxCorePaymentType,4,WireTransfer,WireTransfer,Wire transfer payment type in the generic TaxCore contract,PaymentItem.paymentType,no,official_spec,high,KB-006; KB-005; REF-001,Table text also appears as Wire Transfer and Serbian legal label is Prenos na račun
core_canonical,REC-ENUM-007,Official numeric mapping is explicit and Serbian materials help only with the crosswalk,ENUM-027,TaxCorePaymentType,5,Voucher,Voucher,Voucher payment type in the generic TaxCore contract,PaymentItem.paymentType,no,official_spec,high,KB-006; KB-005; REF-001,Serbian legal label is Vaučer
core_canonical,REC-ENUM-007,Official numeric mapping is explicit and Serbian materials help only with the crosswalk,ENUM-028,TaxCorePaymentType,6,MobileMoney,MobileMoney,Mobile money payment type in the generic TaxCore contract,PaymentItem.paymentType,no,official_spec,high,KB-006; KB-005; REF-001,Serbian reference localization renders this as Instant plaćanje
core_canonical,REC-ENUM-008,Official request model explicitly constrains the option flags to string values 0 and 1,ENUM-029,InvoiceOptionFlag,0,0,Generate,Option value meaning generation is enabled,InvoiceOptions.omitQRCodeGen; InvoiceOptions.omitTextualRepresentation,no,official_spec,high,KB-006,
core_canonical,REC-ENUM-008,Official request model explicitly constrains the option flags to string values 0 and 1,ENUM-030,InvoiceOptionFlag,1,1,Omit,Option value meaning generation is omitted,InvoiceOptions.omitQRCodeGen; InvoiceOptions.omitTextualRepresentation,no,official_spec,high,KB-006,
core_canonical,REC-ENUM-009,The buyer codebook is primary and later guidance only sharpens diplomatic and foreign-customer usage,ENUM-031,RSBuyerIdentificationCode,10,10,PIB kupca,Domaće pravno lice identifikovano PIB-om,BuyerIdentification,no,official_technical,high,KB-016; KB-005; KB-012,Guidance for SNPDV official purchases also points to the PIB-family buyer branch
core_canonical,REC-ENUM-009,The buyer codebook is primary and later guidance only sharpens diplomatic and foreign-customer usage,ENUM-032,RSBuyerIdentificationCode,11,11,JMBG,Domaće fizičko lice koje obavlja samostalnu delatnost identifikovano JMBG-om,BuyerIdentification,no,official_technical,high,KB-016,
core_canonical,REC-ENUM-009,The buyer codebook is primary and later guidance only sharpens diplomatic and foreign-customer usage,ENUM-033,RSBuyerIdentificationCode,12,12,PIB i JBKJS kupca,Domaće pravno lice identifikovano PIB-om i JBKJS-om,BuyerIdentification,no,official_technical,high,KB-016; KB-005,Payload format is PIB:JBKJS after the prefix
core_canonical,REC-ENUM-009,The buyer codebook is primary and later guidance only sharpens diplomatic and foreign-customer usage,ENUM-034,RSBuyerIdentificationCode,13,13,Kod penzionerske kartice,Fizičko lice imalac penzionerske kartice,BuyerIdentification,no,official_technical,high,KB-016,
core_canonical,REC-ENUM-009,The buyer codebook is primary and later guidance only sharpens diplomatic and foreign-customer usage,ENUM-035,RSBuyerIdentificationCode,14,14,PIB,Pravno lice ili preduzetnik sa poljoprivrednim gazdinstvom identifikovan PIB-om,BuyerIdentification,no,official_technical,high,KB-016,
