behavior_id,dynamic_view_ref,group_ref,anchor_role,notes
B_ESDC_MARK_STARTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_REQUEST_READINESS_CHECK,primary,Entry into readiness check lifecycle before serving admission is decided
B_ESDC_PROBE_AVAILABILITY,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_PROBE_ESDC_AVAILABILITY,primary,Availability probe and local responsiveness check
B_ESDC_EVALUATE_STATUS,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_READ_CURRENT_STATUS,primary,Reads current E-SDC status used for serving classification
B_ESDC_EVALUATE_RECOVERY_NEEDS,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_EVALUATE_RECOVERY_NEEDS,primary,Derives readiness class from status and local checks
B_ESDC_BEGIN_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_CONFIRM_ALREADY_READY,primary,Transitions into ready admission mode when no recovery is needed
B_ESDC_BEGIN_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_REFRESH_ENVIRONMENT_PARAMETERS,secondary,Ready-with-environment-context still results in accepting service
B_ESDC_STOP_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_EVALUATE_RECOVERY_NEEDS,primary,Admission is stopped once recovery classification determines service should not proceed
B_ESDC_STOP_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_BLOCK_ON_AUDIT_REQUIRED,secondary,Audit-required outcome blocks new work
B_ESDC_STOP_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_RECOVER_PIN_REQUIRED_STATE,secondary,PIN-required outcome blocks new work until recovery succeeds
B_ESDC_STOP_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_HANDLE_TIME_OR_CERTIFICATE_DEGRADED,secondary,Time/certificate issue blocks normal admission
B_ESDC_PUBLISH_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_CONFIRM_ALREADY_READY,primary,Publishes ready result
B_ESDC_PUBLISH_ACCEPTING,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_REFRESH_ENVIRONMENT_PARAMETERS,secondary,Publishes ready result enriched with environment context
B_ESDC_PUBLISH_DEGRADED_LOCAL_ONLY,S_SYS_BACKEND_SYNC_AND_COMMAND_LIFECYCLE,GRP_BACKEND_SYNC_CLOSE_SYNC_OUTCOME,primary,Collapses backend sync degradation into stable local-only serving posture
B_ESDC_PUBLISH_DEGRADED_LOCAL_ONLY,S_SYS_BACKEND_SYNC_AND_COMMAND_LIFECYCLE,GRP_BACKEND_SYNC_ENSURE_AUTHENTICATION_CAPABILITY,secondary,Backend access degradation contributes to local-only serving classification
B_ESDC_PUBLISH_BLOCKED,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_BLOCK_ON_AUDIT_REQUIRED,primary,Audit-required block is explicit blocked serving outcome
B_ESDC_PUBLISH_BLOCKED,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_RECOVER_PIN_REQUIRED_STATE,secondary,Pending PIN recovery keeps service blocked
B_ESDC_PUBLISH_BLOCKED,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_HANDLE_TIME_OR_CERTIFICATE_DEGRADED,secondary,Time/certificate degraded condition is currently modeled as blocked
B_ESDC_RECORD_PIN_REQUIRED,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_EVALUATE_RECOVERY_NEEDS,primary,Recovery evaluation classifies PIN-required condition
B_ESDC_RECORD_PIN_REQUIRED,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_RECOVER_PIN_REQUIRED_STATE,secondary,Operator-mediated PIN recovery flow realizes the condition
B_ESDC_RECORD_AUDIT_REQUIRED,S_SYS_STATUS_AND_OPERATOR_RECOVERY,GRP_STATUS_BLOCK_ON_AUDIT_REQUIRED,primary,Explicit audit-required blocking condition
