CatalogLayer,LayerBasis,LayerNotes,CodeSystem,Code,Layer,TransportShape,HttpStatus,Text,Meaning,Trigger,Retryable,Priority,Authority,Confidence,SourceRefs,Notes
reference_only,REC-ERR-001,This behavior is important for integration but not the primary structured error model,LPFR_TRANSPORT,text_plain_errors,lpfr_service,text/plain,200,Plain text status and error body,LPFR may return plain text codes to ESIR,Validation or operational failures,depends_on_code,high,official_manual_test,high,KB-007,Reference-only transport normalization note and not the primary canonical error contract
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,0000,shared,code_string,n/a,All OK,Command executed without warnings or errors,Successful command execution,no,info,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,0100,lpfr_service,code_string,n/a,Pin OK,Provided PIN code is correct,Successful VerifyPin,no,info,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,0210,lpfr_service,code_string,n/a,Internet Available,Internet connection is available,Optional connectivity status,no,info,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,0220,lpfr_service,code_string,n/a,Internet Unavailable,Internet connection is unavailable,Optional connectivity status,yes,info,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,1100,lpfr_service,code_string,n/a,Storage 90 Percent Full,Audit package storage is almost full,Storage threshold reached,yes,warning,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,1300,lpfr_service,code_string,n/a,Smart Card is not present,Secure element card is not inserted or not reachable,Missing card or reader issue,yes,warning,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,1400,lpfr_service,code_string,n/a,Audit Required,Secure element amount status reached audit threshold,Audit threshold reached,yes,warning,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,1500,lpfr_service,code_string,n/a,Pin Code Required,POS must provide PIN again,PIN not cached or card changed,yes,warning,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,1999,lpfr_service,code_string,n/a,Undefined Warning,Something is wrong but a specific warning is not defined,Manufacturer specific warning path,yes,warning,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,2100,lpfr_service,code_string,n/a,Pin Not OK,Provided PIN is invalid,Wrong PIN or wrong PIN size,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,2110,lpfr_service,code_string,n/a,Card Locked,Allowed PIN entries exceeded and card is locked,Too many wrong PIN attempts,no,error,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,2210,secure_element,code_string,n/a,SE Locked,Secure element is locked until audit is completed,Audit required before more invoices,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,2220,secure_element,code_string,n/a,SE Communication Failed,E-SDC cannot connect to secure element applet,Applet communication failure,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,2230,secure_element,code_string,n/a,SE Protocol Mismatch,Secure element does not support requested protocol version,Protocol version mismatch,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,2310,lpfr_service,code_string,n/a,Invalid tax labels,Submitted tax labels are not defined,Unknown label in invoice item,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-002,The main LPFR status-code family is explicitly documented and operationally corroborated by manual endpoint expectations,GENERAL_STATUS_CODE,2400,lpfr_service,code_string,n/a,Not configured,SDC device is not fully configured for signing,Missing tax rates or verification URL or similar,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2800,shared,code_string,n/a,Field Required,Mandatory invoice request field is missing,Missing required field,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2801,shared,code_string,n/a,Field Value Too Long,Field length exceeds maximum allowed length,Too long field value,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2802,shared,code_string,n/a,Field Value Too Short,Field length is shorter than minimum allowed length,Too short field value,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2803,shared,code_string,n/a,Invalid Field Length,Field length is outside allowed range,Length validation failure,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2804,shared,code_string,n/a,Field Out Of Range,Field value is outside allowed range,Numeric or date range validation failure,yes,error,official_spec,high,KB-006,
